stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,2108.47,34288.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080.59,0,0,0,0,0,0,0,0,0
  5-6,2727.69,33296.18,0,55.17,0,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,1158.5,104.2,0,0,306.48,508.76,0,0,0,0,0,0,0,0,0
  7-9,504.71,286.53,0,904.28,0,0,0,147.21,0,0,0,812.27,0,0,0,0,0,0,0,0,6032.9,439,0,0,6372,10.51,94.63,0,10.51,0,0,0,0,0,0
 10-12,6.29,185.67,0,377.64,0,9.44,0,78.67,0,0,0,308.4,0,0,0,0,3.15,0,0,0,1268.23,81.82,0,0,4846.33,0,56.65,12.59,415.4,0,25.18,3.15,0,0,0
 14-21,0,6,0,0,13,32,0,1,0,3,1,2,0,0,0,0,0,7,0,7,68,5,0,0,227,4,6,1326,0,9,287,29,0,0,0
 24-34,0,0,0,0,3.28,0.82,0,1.64,1.64,0.82,0,0,0.82,0,0,0,0,2.46,0,2.46,96.86,1.64,0,0,0,3.28,0,0.82,0,0,98.5,35.3,0,1.64,0
 36-46,0,0,0,0,2.42,0,0,3.22,2.42,1.61,0,0,0,0,0.81,0.81,0,5.64,0,2.42,98.29,0,0,0,0,0.81,0,0,0,0,0.81,20.14,0,0.81,0
 48-58,0.57,0,0,0,0,0,0,10.33,0,8.03,0,0,0,0,0,0,0,7.46,0,0.57,45.33,0,1.15,0.57,0,0,0,0,0,0,0,12.05,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,22.58,1.96,3.93,0,0,0,0,0,0,0,4.91,0,0,49.08,0.98,0,0,0,0.98,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0,0.98,0,4.91,0,0,15.71,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0.98
 84-94,0,0,0,0,3.19,0,0,11.68,1.06,0,0,0,0,0,0,1.06,0,3.19,0,0,16.99,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,1.09,0,0,7.65,0,3.28,0,0,0,1.09,1.09,0,0,7.65,1.09,1.09,14.21,1.09,0,0,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0.77,0,1.53,0,0,9.96,0,1.53,0,0,0,0.77,0,0.77,0,5.36,0,0,9.19,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,7.84,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
