stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,131.44,15.77,0,0,123.55,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,132.17,6.29,0,0,84.97,0,0,3.15,0,22.03,0,3.15,0,0
 14-21,0,0,1,7,7,13,0,0,0,1,3,0,0,0,0,4,5,117,2,1,1,8,0,0,0,23,7,15,42,0,0
 24-34,0,0,0.82,3.28,0.82,45.97,0,0,0,3.28,0,0,0.82,1.64,0,22.16,16.42,246.26,1.64,0.82,0.82,0,0,0,0,0,0.82,9.85,59.1,1.64,0
 36-46,0,0,0,0.81,0,10.47,0,0,0,9.67,0,0,0,0,0.81,6.45,3.22,62.04,0,0,0,0,0,0.81,0,0,0.81,0,12.09,1.61,0
 48-58,0,0,0,0,0,6.31,0.57,0,0,11.48,0,0.57,0.57,0.57,0,5.16,1.72,32.13,0,0,0,0,0,1.15,0,0,0,0,8.61,0.57,0
 60-70,0,0,0,1.96,0,2.94,0,0,0.98,10.8,0,0,0.98,0.98,0,0.98,0.98,13.74,0.98,0,0,0,0,0,0,0,0,0,6.87,0.98,0
 72-82,0,0,0,0,0.98,6.87,0,0.98,0.98,7.85,0,0,0,0,0,2.94,0,7.85,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,4.25,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,2.19,1.09,1.09,0,0,0,3.28,0,9.84,0,0,0,0,0,2.19,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0.77,0,0,0,0,1.53,0,0,0.77,0,0,0.77,0.77,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
