stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,65.89,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,12.59,0,0,3.15,0,0,0,0,0,47.2,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,2,3,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,1,4
 24-34,0,0,0,0.82,0,2.46,0.82,0,0,0,0,0.82,0.82,0,23.8,0,0,0.82,0,0.82,0,0.82,0,6.57
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,0,1.15,0.57,0.57,0,0,0,0.57,0,0,3.44,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,3.93,0,0,0,0,0.98,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,2.19,0,0,6.56,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,0,1.96,0,0,0,0
