stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0
  5-6,6.13,514.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,7.89,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,4,0,0,0,1,1,1,1,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,3.28,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,1.61,0,0,1.61,0,0,0,0,0,0.81,0,0,1.61,2.42,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,3.44,0,0,0,1.72,0,0.57,1.15,0,0,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,1.96,0,0.98,0.98,0,2.94,0,0,0,0.98,0,2.94,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0,4.91,0.98,0.98,8.83,0,0,0,0,0,14.72,0,0.98,1.96,10.8,0,0,0,0,0,0.98,0.98,0,0,0,0,3.93,0,0
 84-94,0,0,0,0,1.06,1.06,2.12,0,0,2.12,2.12,1.06,14.87,0,0,1.06,0,1.06,3.19,0,0,1.06,2.12,0,1.06,1.06,0,0,4.25,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,0,4.37,0,4.37,1.09,0,2.19,5.46,0,21.86,1.09,0,0,0,1.09,20.76,1.09,1.09,0,7.65,1.09,2.19,1.09,0,1.09,9.84,0,0,0,1.09,1.09,9.84,2.19,0
108-118,0,0,0.77,1.53,3.83,0,1.53,3.06,0.77,6.13,3.06,0.77,19.15,0,5.36,0.77,0,0,11.49,0,0,1.53,9.96,0,0.77,2.3,0,0.77,13.02,0,0,0,0,1.53,8.43,1.53,0.77
120,0,0,0,0,7.84,1.96,3.92,0,0,1.96,0,0,17.64,0,1.96,1.96,3.92,0,3.92,0,0,0,11.76,0,1.96,0,0,1.96,13.72,0,0,0,0,0,17.64,0,0
