stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,5,1,0,0,0,0,0,0,1,17,0,1,0,1,1,2,4,0,0,0
 24-34,0,0.82,0,0,0,1.64,0.82,0,0,17.24,0,0,1.64,4.1,0,0.82,4.1,0,0.82,0
 36-46,0.81,2.42,0,0,0,3.22,0,0,0,7.25,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,8.61,0,0.57,2.87,3.44,0,0,0.57,16.07,0,0,0.57,0.57,0,0,4.59,0,0.57,0
 60-70,0,6.87,0,0,1.96,6.87,0,0,0,8.83,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,5.89,0,0,2.94,2.94,0,0,0,8.83,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,0,0,1.06,1.06,0,1.06,0,2.12,0,0,0,1.06,0,0,2.12,0,0,0
 96-106,1.09,0,0,0,2.19,7.65,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0.77,1.53,0.77,0,0.77,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,5.88,0,0,0,3.92,0,0,0,1.96,0,0
