stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,43,1,0,0,0,0,1,0,1,0,0,22,0,0,1,0,0
 24-34,0,1.64,0.82,0.82,2.46,0,2.46,0,1.64,0,1.64,0,0,0.82,0,0.82,0.82,0,0,0,4.93,0,0,0.82,518.78,1.64,2.46,1.64,0,0,6.57,0,0,0,0,161.71,0,0,15.6,0,0
 36-46,0,0,0,1.61,0,0,10.47,0,0,0,4.03,0,0,0,0,1.61,0,0,0,0.81,8.86,0,0,0,1191.58,0.81,2.42,5.64,0,0,2.42,0,0,0.81,0,215.92,0,0,2.42,0,0
 48-58,0,1.15,0,8.03,1.15,0,116.48,0,0,0,40.17,0,0.57,1.15,1.15,0,0.57,0,0,0,24.1,0,0.57,4.02,1621,0.57,1.15,3.44,0.57,0,4.02,0.57,0,0.57,0,191.65,0,0,3.44,0,1.15
 60-70,0,0,0,8.83,0.98,0,431.87,0,1.96,0,86.37,0.98,0,0,0,0,0,0,0,0,62.82,0,0.98,2.94,2861.14,1.96,2.94,1.96,0,0,7.85,0,0,0.98,0,244.4,0,0,3.93,0,4.91
 72-82,0,3.93,0,19.63,1.96,0,625.32,0,0.98,0.98,177.68,3.93,0.98,0,0.98,0,2.94,0.98,0,0,112.89,0,0,2.94,2755.52,0,3.93,6.87,0,0,6.87,0,0,0,0,153.14,1.96,0,1.96,0.98,1.96
 84-94,0,2.12,0,24.43,2.12,0,414.19,0,3.19,0,129.57,2.12,0,0,3.19,2.12,2.12,0,2.12,1.06,98.77,1.06,2.12,2.12,1433.75,1.06,1.06,7.43,0,1.06,15.93,0,0,1.06,1.06,84.96,0,2.12,0,2.12,2.12
 96-106,0,0,0,20.76,3.28,1.09,325.67,0,1.09,1.09,126.77,1.09,0,0,3.28,0,1.09,0,2.19,0,102.73,0,0,0,1078.64,0,2.19,4.37,0,0,9.84,0,0,0,0,40.44,1.09,0,3.28,1.09,0
108-118,0,0,0,18.38,3.83,0,247.41,1.53,0.77,0,110.3,3.06,0,0,1.53,0.77,0.77,0,1.53,0,58.21,0,0,1.53,1335.84,0,0.77,9.19,0,0,10.72,0,0,0.77,0,36,0.77,0,3.06,0.77,0.77
120,0,1.96,0,52.91,7.84,0,407.64,3.92,3.92,0,146.98,1.96,0,0,7.84,0,0,1.96,0,0,137.18,0,1.96,3.92,2445.81,1.96,3.92,3.92,0,1.96,21.56,0,0,5.88,0,60.75,3.92,1.96,1.96,0,0
