stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,729.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,31.47,0,72.38,0,6.29,0,15.73,0,0,0,0
 14-21,0,1,0,57,4,0,3,3,3,1,23,0,28,17,2,35,0,6,147,1,2,15,40,0
 24-34,0,0,0,0,0,0.82,0,0,2.46,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,3.22,0,0.81,0.81,0,4.03,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,1.15,0.57,0,2.87,0,0,0,1.15,6.89,0,0,0.57,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,1.96,3.93,0,2.94,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,13.11,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,2.3,0,0,4.6,0,0.77,0,0,2.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
