stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,18,5,6,0,1,0,8,0,0,0,1,0,0,0,0,11,0,0,12,177,4,3,0,4,0,6,24,2,1,14,61,0,0,3,0,0
 24-34,0,0,6.57,0,18.06,0,0,0,4.93,0,0,0.82,0.82,0,0,0,0,14.78,0,0,8.21,148.57,3.28,9.85,0.82,0,0,6.57,0,1.64,0,2.46,31.19,0,0,4.93,0,0
 36-46,0,0,4.83,0.81,27.39,0,1.61,0.81,0.81,0.81,1.61,1.61,0.81,0,1.61,0.81,0,20.14,0,0.81,8.06,103.13,1.61,4.03,0,0,0,3.22,0,1.61,0,0,16.11,0,0,0.81,0,0
 48-58,0,0,1.15,0,30.41,0,0,3.44,6.89,0,0,2.3,0,0,0,0,0,33.28,0,1.15,8.61,93.53,1.15,1.15,0.57,0,0,2.3,0.57,0.57,0,0,15.49,0,0.57,4.02,0,0.57
 60-70,0,0,5.89,0.98,35.33,0.98,0.98,0.98,9.82,0,0,1.96,0.98,0,0.98,0,0.98,39.26,0,0,4.91,104.04,0.98,3.93,0.98,0,0,5.89,0,0.98,0,0,15.7,0,0,0.98,0,0
 72-82,0,0,3.93,0,43.19,0,0.98,2.94,17.67,0.98,0.98,6.87,0.98,0,1.96,0,0,69.7,0,1.96,16.69,155.1,0.98,5.89,3.93,0,1.96,6.87,0,0,0,0,10.8,0.98,2.94,10.8,0,0
 84-94,1.06,0,6.37,0,21.24,0,1.06,0,5.31,0,1.06,8.5,0,0,1.06,0,0,42.48,0,2.12,8.5,58.41,1.06,7.43,6.37,0,0,14.87,0,0,0,0,2.12,0,2.12,3.19,2.12,1.06
 96-106,0,0,8.74,0,27.32,0,2.19,2.19,17.49,1.09,2.19,14.21,1.09,0,2.19,0,0,52.46,1.09,2.19,5.46,50.27,2.19,8.74,5.46,0,0,18.58,0,2.19,0,0,6.56,1.09,2.19,7.65,2.19,1.09
108-118,0.77,0.77,7.66,0.77,20.68,0.77,1.53,0,13.79,0.77,3.06,4.6,1.53,0.77,0,0,0.77,31.4,0.77,0,8.43,75.06,3.06,2.3,3.06,0,0.77,12.26,0,1.53,0,0,2.3,0.77,0.77,4.6,1.53,0
120,0,0,17.64,1.96,23.52,0,3.92,1.96,17.64,0,0,13.72,0,0,1.96,0,0,29.4,0,1.96,3.92,82.31,9.8,3.92,1.96,0,3.92,15.68,1.96,0,0,0,1.96,0,0,3.92,0,0
