stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,67.43,214.54,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,0,21.03,0,0,5.26,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,107.78,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.18,0,6.29,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,9.44,0,0,66.09,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,2,14,0,7,0,0,0,5,1,0,0,0,0,0,0,0,0,14,0,0,9,68,0,0,2,0,0,0,17,2,7,48,0,0,0,0,0
 24-34,0,0,0.82,7.39,0.82,10.67,0,0,1.64,15.6,0,0,0.82,0,0.82,0,0.82,0,0,32.83,0,0,9.85,92.76,0.82,0,0.82,0,0,1.64,0,1.64,5.75,37.76,0,0,4.1,0,0
 36-46,0,0,0,1.61,0,3.22,0,0,0,12.09,0,0,0.81,0,0,0,0,0,0.81,44.31,0.81,0.81,11.28,83.79,0.81,0,1.61,0,0,0,0,0.81,0,66.87,0,0.81,7.25,0,0
 48-58,0,0,0,2.87,0,4.02,0.57,1.15,1.15,20.66,0,0,1.72,0,0,0,0,0,0,56.81,0,0.57,10.9,21.8,0.57,1.15,0.57,0,0,0,0,0,0,26.97,0,0.57,0.57,0,1.15
 60-70,0,0,0,4.91,0,3.93,0,0,0.98,17.67,0,0,0.98,0,0,0,1.96,0,0,111.89,0,5.89,7.85,13.74,1.96,0,0,0,0.98,0.98,0,0,0,10.8,0,1.96,4.91,1.96,0
 72-82,0,0,0,0.98,0,6.87,0,0.98,6.87,17.67,0,0,3.93,0.98,0.98,0,0,0,0,124.67,0,5.89,6.87,20.61,0,0.98,3.93,0,1.96,0.98,0,0,0,8.83,0.98,6.87,12.76,2.94,0
 84-94,0,0,0,4.25,0,19.12,0,0,3.19,11.68,0,0,3.19,0,0,2.12,0,0,2.12,86.03,0,5.31,7.43,11.68,1.06,1.06,4.25,0,2.12,1.06,0,2.12,0,2.12,1.06,5.31,6.37,1.06,0
 96-106,0,0,0,3.28,0,7.65,0,1.09,5.46,15.3,0,0,1.09,0,0,1.09,4.37,1.09,0,83.06,0,6.56,4.37,10.93,0,0,1.09,0,1.09,0,0,1.09,0,5.46,0,2.19,8.74,3.28,0
108-118,0,0,0,5.36,0.77,13.02,0,0.77,3.06,14.55,0.77,0,1.53,0,0,3.06,0,0,0,76.6,0,3.83,3.83,13.79,0,0,3.06,0,0.77,0,0,1.53,0,3.83,0,2.3,9.19,3.06,0.77
120,0,0,0,5.88,0,3.92,0,0,3.92,13.72,0,0,0,0,0,0,0,1.96,0,80.35,0,5.88,9.8,13.72,3.92,0,7.84,0,0,0,0,0,0,3.92,0,0,5.88,1.96,0
