stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,113.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,25,0,0,5,0,0,42,0,11,9,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0.82,0,0,0,0.82,0,0,4.1,0.82,5.75,18.06,0,0,0,0,0,0,0,2.46,6.57,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,2.42,0,0,0,0,0,0,10.47,0,2.42,16.92,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0
 48-58,0,0,0,0,0,4.02,0,0,2.87,4.59,0,0.57,0,0,0,0,30.99,0,5.74,8.03,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,1.96,0,0,3.93,5.89,0,0.98,0,0,0,0,88.34,0.98,5.89,8.83,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0
 72-82,0,0.98,2.94,0.98,0,16.69,0,0,20.61,7.85,0,0.98,0,0,0,0,284.68,4.91,10.8,16.69,0,1.96,0,0.98,0,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,0,4.25,0,0,38.23,1.06,1.06,16.99,4.25,1.06,3.19,1.06,1.06,1.06,1.06,232.59,3.19,7.43,7.43,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,5.46,1.09,0,17.49,2.19,0,18.58,8.74,1.09,2.19,4.37,0,0,0,277.58,3.28,13.11,21.86,2.19,0,0,0,1.09,0,0,0,1.09,1.09,2.19,0,1.09
108-118,0,0,3.06,0,0.77,4.6,0,0.77,15.32,10.72,0,0.77,0,0.77,0,0,310.98,5.36,9.19,18.38,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,1.96,3.92,1.96,9.8,0,0,9.8,7.84,0,3.92,0,0,0,1.96,256.73,7.84,7.84,11.76,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0
