stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,18,0,0,0,0,1,2,0,0,2,5,0,0,0,0,0
 24-34,0.82,4.93,1.64,0,4.93,0,0,0,1.64,0,0,0,0,0,0,0.82,0,4.93,0,0,3.28,45.15,1.64,0,0.82,0,12.31,0,0,0.82,0.82,7.39,0,0,0.82,0,0
 36-46,0,4.03,0,0,16.92,1.61,2.42,0,2.42,0.81,0.81,0,0,0,0,0,0,13.7,0,0,2.42,45.12,1.61,0,0,0,13.7,0,0,0,0,16.11,0,0,2.42,0,2.42
 48-58,0,1.15,0,0,9.18,5.16,0.57,0,2.87,0,0.57,0,0,0.57,0,0,0.57,8.03,0,0,1.15,40.74,1.15,0,0,0,7.46,0,0,0.57,0,8.03,0,0,1.72,0,0
 60-70,0,8.83,0.98,0,43.19,0.98,1.96,0,16.69,0.98,0,1.96,0.98,0.98,0.98,0.98,0.98,28.46,0,0.98,2.94,64.78,1.96,0,0,0,11.78,0,0.98,4.91,0,11.78,0,0,0.98,0,1.96
 72-82,0,5.89,0.98,0.98,34.36,0.98,0.98,0,10.8,0,1.96,0,0,1.96,0,0.98,0,31.41,1.96,3.93,2.94,55.95,0.98,0,2.94,0,7.85,0,0,0,0,3.93,0,0.98,1.96,1.96,1.96
 84-94,0,11.68,2.12,1.06,35.05,0,2.12,0,4.25,4.25,0,1.06,0,3.19,0,1.06,0,19.12,1.06,2.12,2.12,36.11,0,0,0,0,31.86,0,2.12,0,0,1.06,0,1.06,2.12,0,1.06
 96-106,0,4.37,1.09,0,10.93,0,2.19,0,8.74,4.37,0,0,2.19,2.19,1.09,0,0,12.02,2.19,0,2.19,20.76,0,1.09,0,1.09,8.74,0,1.09,0,0,2.19,2.19,0,0,1.09,1.09
108-118,0,13.02,0,9.96,9.19,0.77,3.06,1.53,4.6,4.6,0.77,2.3,1.53,1.53,0.77,0.77,0.77,16.85,0,0.77,4.6,18.38,0,1.53,0.77,0,13.79,0,3.06,2.3,0,0.77,0.77,0,3.83,0,0.77
120,0,27.44,3.92,3.92,21.56,1.96,3.92,3.92,17.64,11.76,1.96,1.96,3.92,0,0,1.96,1.96,21.56,0,1.96,5.88,47.03,3.92,9.8,1.96,0,19.6,0,0,1.96,0,1.96,0,0,1.96,0,1.96
