stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,17,2,1,0,1,0,0,2,1,7,9,0,0,0,0,0
 24-34,0,0,1.64,25.45,0,3.28,0,2.46,0,0.82,0.82,0,2.46,0.82,0,4.1,0,16.42,0.82,0,5.75,58.28,0,3.28,0.82,0,0,0.82,0,0.82,4.93,13.13,0,0,0.82,0,0
 36-46,0,0,0,9.67,0,5.64,0,2.42,2.42,2.42,0,0.81,0.81,0,0,2.42,0,22.56,0,0,6.45,68.48,2.42,0,0,0,0,0.81,0,0,0,15.31,0,0,1.61,0,3.22
 48-58,0,0,0,10.33,0,4.02,0,3.44,1.72,5.74,0.57,0.57,1.72,0.57,0,1.72,0,22.38,1.72,1.15,4.02,90.66,0.57,0,0,0,0.57,1.15,0,0,0,10.9,0,0,0,0,9.18
 60-70,0,0,0,15.7,0,20.61,0,9.82,1.96,13.74,0,0.98,3.93,0.98,0,5.89,0,42.21,0.98,2.94,5.89,151.15,0,0,0.98,0,0,1.96,0,0,0,8.83,0,0.98,3.93,0.98,9.82
 72-82,0,0,0,11.78,0,59.88,0,6.87,1.96,31.41,0,0,8.83,1.96,0.98,10.8,0,53.01,0.98,1.96,6.87,183.57,0.98,0.98,0.98,0,0,0,0,0,0,7.85,0.98,0,2.94,0,3.93
 84-94,0,0,0,25.49,1.06,52.04,1.06,12.74,3.19,23.36,1.06,1.06,14.87,1.06,2.12,5.31,0,44.61,3.19,1.06,6.37,115.76,1.06,1.06,2.12,0,0,3.19,0,0,0,6.37,0,1.06,2.12,0,2.12
 96-106,0,2.19,0,38.25,2.19,54.64,0,6.56,0,29.51,3.28,2.19,13.11,2.19,0,10.93,1.09,45.9,1.09,2.19,5.46,107.1,2.19,3.28,3.28,0,0,4.37,0,0,0,5.46,1.09,1.09,0,3.28,5.46
108-118,0,0,0,51.32,1.53,34.47,0.77,18.38,2.3,28.34,1.53,0.77,14.55,3.06,1.53,9.96,0.77,46.72,0.77,0.77,0.77,101.87,0,5.36,4.6,0,0,6.13,0,0,0,3.83,1.53,1.53,3.06,1.53,7.66
120,0,0,0,82.31,3.92,29.4,0,23.52,0,15.68,3.92,0,39.2,7.84,0,7.84,0,47.03,1.96,1.96,0,154.82,3.92,3.92,7.84,0,0,7.84,0,0,0,7.84,1.96,1.96,3.92,1.96,5.88
