stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0,0,0.82,0,0.82,0,1.64,0,45.97,15.6,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,0.81,0.81,0,0,0,0,0,0,0,0,6.45,0,44.31,15.31,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,2.3,0.57,2.87,0,0,0,2.3,0.57,0,1.15,0,3.44,0,36.72,3.44,0,0,0,0,0,1.15,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,0,0,12.76,0,0,1.96,0,4.91,0,66.74,8.83,0,0,0,0,0,1.96,0,1.96,0,0
 72-82,0,0,0,0,11.78,0,0,0.98,24.54,0,0,3.93,0,9.82,0,57.92,9.82,3.93,0,0,0,0,2.94,0,0,0,0.98
 84-94,0,0,0,1.06,7.43,0,1.06,0,7.43,0,0,4.25,0,6.37,0,33.99,12.74,2.12,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,2.19,2.19,3.28,0,1.09,0,19.67,0,0,6.56,0,9.84,1.09,38.25,9.84,9.84,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,4.6,0.77,1.53,0,16.09,0,1.53,2.3,0,9.96,0,36,10.72,0.77,0,0,0.77,0,0.77,0.77,0,0,0
120,0,0,0,0,3.92,0,0,0,9.8,0,0,9.8,1.96,0,0,35.28,3.92,3.92,0,0,0,0,1.96,0,0,0,0
