stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,8.21,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,4.83,0.81,0,0,0,0,0,0,2.42,0,0,0,6.45,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,0.57,0,0,0,0,3.44,1.72,0,0,6.31,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,7.85,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0,0,0,37.3,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,0,0,0,116.82,0,0,0,5.31,0,1.06,0,1.06,0,0,0,0,0
 96-106,1.09,3.28,1.09,3.28,8.74,0,0,4.37,2.19,0,0,1.09,501.62,10.93,1.09,0,61.2,0,0,0,4.37,0,1.09,0,1.09,1.09
108-118,0,5.36,0.77,4.6,9.96,0,0.77,4.6,2.3,0,0.77,0,1292.18,9.19,1.53,0.77,64.34,0.77,1.53,0,3.83,0,0.77,1.53,0,0
120,0,5.88,1.96,0,5.88,0,0,3.92,0,1.96,0,0,672.21,1.96,0,1.96,47.03,0,0,0,3.92,0,0,3.92,0,0
