stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,21.03,2.63,0,7.89,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,9.44,0,3.15,0,0
 14-21,0,0,0,0,3,1,1,0,0,2,0,0,1,0,1,0,0,1,2,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,0,3.28,0,0,0,4.93,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,5.64,0,0,0,1.61,0,4.83,0
 48-58,0,0,0,0,0,1.15,0.57,0,0.57,0,0.57,0,0,0,4.59,0.57,0,0,5.74,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0,2.94,0,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,0,0,0,3.93,0,0.98,0.98,4.91,0,0,0,10.8,0,0.98,0.98
 84-94,0,0,2.12,0,0,3.19,0,0,0,2.12,4.25,0,0,0,4.25,0,0,0,27.61,0,0,2.12
 96-106,0,0,2.19,0,2.19,0,2.19,1.09,1.09,2.19,7.65,0,0,0,4.37,0,0,0,26.23,0,0,0
108-118,0,0,0.77,0,2.3,0.77,1.53,0,0,3.06,16.09,2.3,0,0,3.06,0.77,0,0,6.89,0,0.77,3.06
120,0,0,0,0,1.96,1.96,0,0,0,1.96,9.8,1.96,0,0,5.88,1.96,0,0,21.56,0,0,1.96
