stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1489.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1268.83,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,39.43,63.09,0,0,0,252.36,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,1311.73,39.43,0,0,523.11,0,5.26,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,72.38,66.09,0,6.29,0,254.9,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,1491.66,56.65,0,0,761.57,0,3.15,9.44,3.15,75.53,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,3,21,12,0,16,0,0,3,2,2,0,0,0,0,0,0,0,8,0,0,7,117,2,1,0,3,0,0,0,46,0,2,47,31,0,0,0,0,2
 24-34,0,0,0,9.85,0,0,24.63,0,0.82,3.28,0,0,0,0,2.46,0.82,0,0,0.82,17.24,0,0.82,6.57,127.23,2.46,1.64,1.64,0,0,2.46,0,0.82,0,0,11.49,23.8,0,0,0.82,0,0
 36-46,0,0,0,4.83,0,0,17.72,0,0.81,4.83,0,0,0,0,0,0.81,0,0.81,0,10.47,0,0,4.83,111.18,1.61,0.81,0.81,0,0,1.61,0,0,0,0,0,15.31,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,0,30.41,0,1.15,8.61,0,0,0,0,0,1.15,0,0.57,0.57,21.8,0,1.15,1.72,72.87,0.57,0.57,0.57,0,0,0.57,0,0,0,0,0,6.89,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,0,37.3,0,2.94,5.89,0.98,0,0,0,0.98,0,0,0,0,24.54,0,0,4.91,66.74,0,0,3.93,0,0,0,0,0,0,0,0,6.87,0,0,1.96,0.98,0
 72-82,0,0,0,3.93,0.98,0,16.69,0,2.94,13.74,0.98,0,0.98,1.96,0,0,1.96,0,0,21.6,0.98,0.98,1.96,64.79,0,0.98,0.98,0,0,1.96,0,0,0.98,0,0,5.89,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,0,6.37,0,0,22.3,0,1.06,5.31,5.31,0,1.06,2.12,1.06,2.12,0,0,0,26.55,0,1.06,3.19,21.24,0,0,1.06,0,0,4.25,0,0,1.06,0,0,5.31,0,0,0,2.12,0
 96-106,0,0,0,4.37,1.09,0,8.74,0,0,10.93,1.09,0,0,4.37,2.19,2.19,0,2.19,0,12.02,0,1.09,4.37,28.41,1.09,2.19,2.19,0,0,3.28,0,0,0,1.09,0,1.09,0,1.09,1.09,1.09,1.09
108-118,0,0,0.77,10.72,3.06,2.3,11.49,1.53,2.3,14.55,3.83,0,0,1.53,0.77,1.53,0.77,0.77,0,21.45,0.77,0.77,4.6,36.77,0,0,0,0,0,7.66,0,0,0,0,0,2.3,0,0,0.77,0,0
120,0,0,1.96,29.4,0,0,19.6,0,0,11.76,0,0,1.96,1.96,0,0,0,1.96,0,27.44,1.96,0,3.92,45.08,0,0,0,0,1.96,17.64,0,0,0,0,0,0,0,0,0,1.96,0
