stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,18.4,5.26,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,9.44,0,0,0,0,0,50.35,3.15,12.59,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,4.1,0,0,0,0,0,0,0.82,0,2.46,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0.81,0,3.22,0
 48-58,0,0,0,0,0.57,0,2.3,0,1.72,0.57,4.02,0,0,0,0,0,0,1.15,0,5.16,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0.98,0,9.82,1.96
 72-82,0,0,0.98,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0.98,16.69,0
 84-94,0,0,1.06,0,0,0,13.81,0,0,0,2.12,0,0,0,0,0,0,0,0,6.37,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,2.19,0,0,0,0,0,14.21,0
108-118,0,0,0,0,1.53,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0
120,0,0,0,0,1.96,0,19.6,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,7.84,0
