stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,41,2,0,1,0,0,0,1,0,0,1,0,5,0,0,1,0,6,0,0,6,24,0,0,1,1,0,0,0,4,5,2,4,11,0,0,5,0,4
 24-34,0,0,0.82,44.33,0.82,0,10.67,0,4.1,1.64,0.82,1.64,0,4.1,6.57,17.24,0,2.46,0.82,12.31,43.51,0.82,0,24.63,54.18,2.46,0,2.46,0,0,10.67,0.82,0.82,5.75,1.64,8.21,18.88,0,0,22.16,0,32.83
 36-46,0,0,0,14.5,0.81,0,8.86,0.81,14.5,4.03,9.67,0.81,0,3.22,14.5,4.83,0.81,2.42,0,15.31,59.62,1.61,2.42,15.31,40.28,0.81,0,1.61,0,0,6.45,0,0,2.42,0,0,10.47,0,0.81,16.11,0,48.34
 48-58,0,0,0,15.49,0,0,8.61,0.57,15.49,7.46,12.62,0.57,0.57,0.57,24.1,3.44,0,2.3,0,16.07,69.43,0.57,0.57,15.49,23.53,1.15,0,0.57,0,0,7.46,0,0,1.15,1.72,0,13.2,0,0,13.2,0,63.12
 60-70,0,0,0,25.52,0.98,0,10.8,0,23.56,7.85,33.37,2.94,0,0.98,28.46,4.91,1.96,2.94,0,9.82,117.78,0.98,1.96,8.83,23.56,0,0.98,4.91,0,6.87,6.87,0,0,0,1.96,0,12.76,0.98,5.89,15.7,0.98,55.95
 72-82,0,0,0,26.5,0.98,0.98,18.65,0.98,18.65,18.65,62.83,1.96,0,5.89,38.28,20.61,6.87,4.91,0,3.93,245.42,0,13.74,20.61,32.39,0.98,1.96,15.71,0,5.89,5.89,0,0,1.96,0,0,5.89,0,4.91,29.45,15.71,55.95
 84-94,0,0,0,88.15,0,0,29.74,0,50.98,10.62,53.1,6.37,0,2.12,60.54,22.3,16.99,7.43,0,14.87,135.94,2.12,12.74,15.93,11.68,0,3.19,13.81,0,0,33.99,0,0,4.25,4.25,0,4.25,1.06,5.31,19.12,6.37,62.66
 96-106,0,0,0,91.8,0,0,28.41,1.09,41.53,18.58,54.64,6.56,0,5.46,56.83,45.9,14.21,5.46,7.65,7.65,156.28,3.28,8.74,10.93,29.51,4.37,2.19,24.04,0,1.09,17.49,0,0,2.19,0,0,4.37,0,4.37,31.69,12.02,79.78
108-118,0.77,0,0.77,111.06,0,0.77,15.32,3.06,60.51,10.72,45.96,9.96,0,3.83,52.09,32.17,23.74,3.06,2.3,13.02,186.13,1.53,7.66,9.19,31.4,4.6,3.83,14.55,0,5.36,13.02,0,0,4.6,1.53,0,1.53,0,6.13,22.98,9.19,93.45
120,0,0,0,121.51,0,3.92,25.48,3.92,41.16,1.96,27.44,9.8,0,3.92,54.87,19.6,17.64,1.96,3.92,5.88,115.63,3.92,9.8,15.68,17.64,0,0,15.68,0,0,13.72,0,0,3.92,0,0,0,1.96,5.88,5.88,11.76,25.48
