stage,epidermis,eye,fin.epithelia,glial,mesenchyme,muscle,neural,olfactory,otic,presomitic.mesoderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,1,2
 24-34,0,0.82,0,0,0.82,0,4.1,0.82,0,0,0,0,1.64
 36-46,0.81,0.81,0,0.81,0.81,0.81,4.83,0,0,0,0,0,1.61
 48-58,0,1.72,0,0,1.15,0,1.15,0.57,0,0,0,0,0.57
 60-70,0.98,2.94,0.98,0.98,0,0,1.96,0,0.98,0,0,0,0.98
 72-82,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0
