stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,1,0,0,0,0,0,1,33,217,1,0,0,0
 24-34,0.82,0,9.03,210.96,0.82,0,0,0,0,0,0.82,0,0,9.85,0,0,24.63,68.13,0.82,0,0.82,0,2.46,0.82,0,56.64,236.41,13.95,0.82,0,2.46
 36-46,0,0,8.86,304.54,0,0,0,0,0,0,0,0.81,0,3.22,0.81,0,12.09,37.06,0,0,0,0,3.22,0,0,39.48,12.89,7.25,0,0,0
 48-58,2.3,0.57,12.05,245.59,0,0.57,1.72,0,0.57,0,0,0,0,7.46,0,0,8.03,49.35,0.57,0,0.57,0,0.57,0,0,14.92,0,9.18,0,0,0.57
 60-70,0,0.98,4.91,121.71,0.98,0,0,0,0,0,0,0.98,0,3.93,0.98,0,3.93,20.61,0,0,0,0,0.98,0,0,2.94,0,0,0.98,0.98,0
 72-82,0,0.98,8.83,55.95,0,0,1.96,0,0,0.98,0,0,0,6.87,0,0,7.85,21.6,0,0,0,0,1.96,0,0,2.94,0,0,0,0,0
 84-94,1.06,2.12,11.68,82.84,0,1.06,0,1.06,0,0,0,1.06,0,6.37,0,1.06,4.25,9.56,0,0,0,1.06,0,0,0,2.12,0,0,3.19,0,0
 96-106,3.28,0,3.28,62.29,0,1.09,2.19,0,0,0,0,0,0,6.56,0,0,3.28,14.21,0,1.09,1.09,0,1.09,0,0,2.19,0,0,1.09,0,0
108-118,0.77,0,3.83,41.36,0,0,0.77,0,0,0,0,0,0.77,2.3,0,0,9.19,3.83,0,0,0,0,1.53,0,0,1.53,0,0,0,0.77,0
120,0,0,3.92,23.52,0,0,0,0,0,0,0,0,0,0,0,0,9.8,5.88,0,1.96,0,0,0,0,0,0,0,0,0,0,0
