stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,5.75,0.82,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,0,0,4.02,0,0,0,0,1.72,0
 60-70,0,0,0,5.89,0,0,0,0,0,0,0.98,0.98,0,0,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,1.53,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0.77
120,0,1.96,3.92,1.96,0,0,0,1.96,0,1.96,0,3.92,0,1.96,0,0,0,0
