stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,3,0,0,24,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,104.25,0,0,0,0,0,0,0,0,0,39.4,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,99.1,0,0,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0,0,0,458.43,0,0.81,0,0,0,1.61,0,0,0,73.32,0,0,0.81,0,0
 48-58,0,0,0,5.74,1.15,0,336.82,0,0.57,0,10.33,0,0,0,1.15,0,0.57,0,0,0.57,8.03,0.57,0.57,2.3,912.92,0,1.15,0.57,0,0,0.57,0,0,0,130.83,0,0,1.15,0,1.15
 60-70,0,0,0,1.96,0,0,462.3,0,0.98,1.96,9.82,0,0,0,0.98,0,0,0,0,0.98,25.52,0,0.98,0.98,1131.69,0,0,0.98,0,0,4.91,0,0,0,106,0,0,0.98,0,0.98
 72-82,0,0,0.98,15.71,3.93,0,398.55,0,0,0.98,29.45,0.98,0,0,1.96,0.98,1.96,2.94,0.98,0,41.23,0.98,0,2.94,910,0.98,0.98,2.94,0,0.98,3.93,0,0.98,0.98,51.05,0,0.98,2.94,0.98,3.93
 84-94,0,0,1.06,15.93,5.31,0,333.48,1.06,0,0,22.3,2.12,0,2.12,0,0,1.06,0,1.06,0,16.99,0,2.12,4.25,474.73,0,1.06,2.12,0,0,5.31,0,0,1.06,35.05,0,3.19,1.06,0,0
 96-106,0,0,0,22.95,9.84,0,203.27,1.09,4.37,0,17.49,3.28,0,1.09,2.19,0,0,2.19,2.19,0,10.93,0,0,6.56,396.7,1.09,1.09,0,0,1.09,4.37,0,0,1.09,5.46,1.09,0,0,2.19,1.09
108-118,0,0,0,16.85,4.6,0.77,191.49,0.77,1.53,1.53,10.72,0.77,0,0,1.53,0.77,1.53,0,0.77,0,16.09,0,1.53,2.3,517.03,0,0.77,0,0,0,2.3,0,0,0,6.13,0.77,0,1.53,0.77,0
120,0,0,0,11.76,5.88,0,233.21,0,1.96,1.96,11.76,3.92,0,0,1.96,0,0,1.96,0,0,21.56,0,1.96,1.96,487.99,0,1.96,0,0,0,1.96,0,1.96,0,5.88,0,1.96,3.92,1.96,0
