stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,2.63,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,6.29,0,0
 14-21,0,0,3,2,0,0,0,0,11,0,0,2
 24-34,0,0,0,0,0,0,0.82,0.82,2.46,0,2.46,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0.57,0.57,0,0.57,0,1.72,0.57
 60-70,0,0,0,0,0,0,1.96,0,3.93,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,0,0,3.19,0
108-118,0,0,0,0,0,0.77,0.77,0,0.77,0,2.3,0
