stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,15.77,0,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,160.35,5.26,0,0,52.57,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,179.38,3.15,0,0,44.06,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,33,0,0,0,0,0,0,0,2,0,5,6,0,0,1,0,0
 24-34,0,0,0.82,4.1,0,0,7.39,0,0,0,4.93,0,1.64,0,0,0,1.64,0,9.85,0,0,4.93,100.97,0,0.82,0,0,0,2.46,0,0,0,1.64,27.91,0,0,5.75,0,0
 36-46,0,0,0,2.42,0,0,24.98,0,0,0.81,1.61,0,0,0,0,0,0,0,10.47,0,0.81,0.81,88.62,1.61,2.42,0,0,0,2.42,0,0,0,0,20.95,0,0,2.42,0,0.81
 48-58,0,0,0,2.3,0,0,26.97,0,0,0,3.44,0,0,0.57,0,0,0.57,0,8.61,0,0,1.15,67.14,0.57,0.57,1.15,0,0,0.57,0,0,0,0,17.21,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,0,44.17,0,2.94,0,1.96,0,0,0.98,0,0,0,0,16.69,0,0,0.98,84.41,0,0,0.98,0,0.98,4.91,0,0,0.98,0,14.72,0,0,0.98,0,0.98
 72-82,0,0,0,2.94,4.91,0,43.19,0,0,1.96,8.83,0,0,0.98,0,0,0,0,16.69,0,0,1.96,75.59,0,2.94,0.98,0,0,1.96,0,0,0,0,9.82,0.98,0,0.98,0,0
 84-94,0,0,0,3.19,6.37,1.06,32.92,0,1.06,0,10.62,0,0,1.06,0,0,0,0,18.05,1.06,2.12,2.12,40.36,2.12,2.12,1.06,0,1.06,9.56,0,0,0,0,6.37,1.06,0,0,0,1.06
 96-106,0,0,0,1.09,4.37,0,28.41,1.09,0,0,5.46,0,0,0,1.09,0,1.09,0,14.21,0,0,1.09,39.34,0,0,0,0,0,4.37,0,0,0,0,5.46,0,0,5.46,1.09,1.09
108-118,0,0,0.77,3.06,4.6,0,22.21,0.77,1.53,0.77,8.43,0,0.77,2.3,1.53,3.83,0.77,0,19.92,0.77,0.77,1.53,49.02,0.77,0.77,0.77,0,0.77,2.3,0,0,0,0,4.6,0,0.77,1.53,2.3,0
120,0,0,0,3.92,1.96,0,23.52,0,1.96,1.96,13.72,0,0,0,0,0,0,1.96,13.72,0,0,3.92,52.91,1.96,0,3.92,0,0,5.88,0,0,1.96,0,1.96,1.96,0,0,0,0
