stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,32,3,6,0,0,6,1,0,0,0,0,0,0,0,0,10,0,0,7,192,7,0,2,4,2,23,1,0,17,65,0,0,3,0,0
 24-34,0,0,0,0,2.46,0,27.09,0,0,4.93,0,0.82,0,0.82,1.64,0,0.82,0,0.82,22.16,0,0,7.39,233.12,0,0,2.46,0,4.1,0,0.82,0,2.46,45.97,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,21.75,0,0.81,12.09,0,0,0.81,0,0,0,0,0,0,22.56,0,0,3.22,171.61,0,3.22,0.81,0,4.83,0,0,0,0,38.67,0,0,0.81,0,0
 48-58,0,0,0,0,3.44,0.57,33.85,1.15,0,13.77,0,0,0,0.57,0.57,0,1.15,0,0,21.23,0,0.57,2.87,69.43,0,0,1.15,0,1.15,0,0,0,0,21.23,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,56.93,0,1.96,19.63,0,0,0,0,0,0,0,0,0,24.54,0,2.94,2.94,56.93,0,0,0,0,0.98,0,0,0,0,13.74,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,21.6,0,0,19.63,0,0,0.98,0.98,0,0,0,0,0,17.67,0,0.98,3.93,44.17,0,0.98,1.96,0,4.91,0,0,0,0,6.87,0,0,4.91,0.98,0.98
 84-94,0,0,0,0,1.06,0,14.87,1.06,2.12,7.43,1.06,0,0,1.06,0,0,2.12,1.06,0,13.81,0,1.06,4.25,24.43,0,1.06,1.06,0,3.19,0,1.06,0,0,3.19,0,1.06,1.06,0,0
 96-106,0,0,3.28,0,4.37,0,12.02,0,2.19,7.65,2.19,0,0,2.19,1.09,1.09,0,1.09,0,12.02,0,0,1.09,15.3,0,2.19,4.37,0,4.37,0,0,1.09,0,2.19,2.19,0,0,0,0
108-118,0,0,0,0,3.83,0,11.49,1.53,0,2.3,0.77,0,0,0,0,0,0,0,0,5.36,0.77,0.77,4.6,22.98,0.77,0.77,0.77,0,5.36,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,5.88,1.96,5.88,1.96,1.96,7.84,1.96,0,0,1.96,0,0,0,0,0,5.88,1.96,0,0,31.36,0,0,3.92,0,7.84,0,0,0,0,0,0,0,0,0,0
