stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,5,0,10,15,1,0,0,0,0,0,1,16,0,152,169,22,0,0,1,0,0
 24-34,0,0,0.82,0,2.46,0.82,0,9.03,46.79,0,2.46,0.82,0.82,0,1.64,0.82,0,0,0.82,0,0.82,16.42,0,25.45,63.21,1.64,0.82,0,0,0,4.1,0,0,0.82,87.01,96.86,43.51,0,0,7.39,0,1.64
 36-46,0,0,0,0,1.61,0,0,3.22,75.73,0,4.03,1.61,0,0.81,1.61,0,0,0,0,0.81,0,14.5,0,22.56,40.28,0.81,0.81,0,0,0,0.81,0,0,0,42.7,4.03,65.26,0,0,1.61,0,3.22
 48-58,0,0,0,0,1.15,0,0,23.53,87.22,0,2.3,1.72,0,3.44,0.57,0,0.57,0,0.57,0.57,1.15,39.02,0.57,16.64,67.71,0,0,1.15,0,0,1.15,0,0,1.15,33.28,0,82.63,0,0.57,3.44,0,3.44
 60-70,0,0,0.98,0,2.94,0,0,33.37,62.82,0,5.89,8.83,0.98,5.89,0,0,0,1.96,0,0,0,40.24,3.93,16.69,68.71,0,0.98,0,0,0,1.96,0,0,0,22.58,0,78.52,0,0,5.89,1.96,1.96
 72-82,0,0,2.94,0,1.96,0.98,0,56.94,64.79,0,6.87,12.76,3.93,2.94,0,0.98,0.98,2.94,0.98,0,0,94.24,5.89,21.6,116.82,0,0,0.98,0.98,1.96,0.98,0,0,0,11.78,0,76.57,0.98,7.85,12.76,11.78,2.94
 84-94,0,0,3.19,0,3.19,3.19,0,35.05,62.66,1.06,4.25,4.25,1.06,9.56,0,2.12,1.06,7.43,0,0,0,58.41,5.31,13.81,95.58,0,0,0,0,0,4.25,0,0,0,19.12,0,26.55,0,3.19,10.62,18.05,2.12
 96-106,0,0,6.56,0,1.09,7.65,0,44.81,73.22,0,2.19,16.39,2.19,1.09,0,2.19,1.09,4.37,0,2.19,0,63.39,8.74,24.04,110.38,0,0,2.19,1.09,1.09,5.46,0,0,0,28.41,0,29.51,0,6.56,14.21,8.74,1.09
108-118,0,0,5.36,0.77,1.53,1.53,0.77,46.72,62.81,0.77,3.06,8.43,2.3,0,1.53,0,2.3,8.43,0,0,0.77,65.11,2.3,24.51,104.94,0,0.77,0.77,0,5.36,0.77,0,0,0,29.11,0,19.15,0,6.13,8.43,7.66,2.3
120,0,0,3.92,0,1.96,0,0,27.44,76.43,0,0,7.84,5.88,0,1.96,1.96,0,7.84,0,0,0,66.63,5.88,19.6,88.19,0,0,0,0,5.88,1.96,0,1.96,0,15.68,0,25.48,0,1.96,9.8,19.6,0
