stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,1,4,0,0
 24-34,0,0,4.1,0.82,36.12,0.82,0,2.46,0,0,0,0,0,0.82,0,15.6,0,2.46,130.52,1.64,0,0.82,2.46,0,0,0,26.27,2.46,0.82
 36-46,0,0,2.42,0.81,31.42,0,0,0.81,0.81,0,0,0,0,0,0,6.45,0,3.22,72.51,0,1.61,0,1.61,0,0,0,10.47,0.81,0
 48-58,0,0,4.02,0.57,29.26,0.57,0,2.3,0.57,0,0.57,0,0,0,0,5.16,0,2.3,35.58,0,0,0,0.57,0,0,0,1.72,0,0
 60-70,0,0,8.83,0,55.95,1.96,0,5.89,1.96,0,0,0.98,1.96,0,0,13.74,0,0,52.02,0,0,0.98,0,0,1.96,0,0.98,0,0
 72-82,0,0,3.93,0,19.63,0,0,0.98,0,0.98,0,0,0,0.98,0,17.67,0,1.96,18.65,0,1.96,0.98,0,0,0,0,1.96,1.96,0.98
 84-94,0,0,2.12,0,6.37,0,1.06,1.06,0,0,0,0,0,0,1.06,3.19,1.06,0,13.81,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,0,4.37,0,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0,0,3.06,5.36,0.77,0,0.77,0,0,3.06,0,0,0,1.53,3.06,0.77,1.53,4.6,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,15.68,0,1.96,0,0,0,0,0,3.92,0,1.96,7.84,0,0,41.16,0,1.96,0,1.96,0,0,0,1.96,0,0
