stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,50.07,0.82,1.64,0,0,0,0,0.82,8.21,0,0
 36-46,0,1.61,0,0,1.61,0,0,0,0,0,0,0.81,98.29,0,0,0,0,0,0,0,13.7,0,0
 48-58,0,0,0,0,6.31,0,0.57,1.15,0,0,1.72,0,109.6,0,0,0,0,1.15,0,0.57,8.03,0,0
 60-70,0,1.96,0,0,17.67,0,0,0.98,0,0,0.98,0,128.58,0,0,0,0,0,0,0.98,11.78,0,0
 72-82,0,1.96,0,0,29.45,0,0.98,3.93,1.96,0,2.94,0,169.83,0,0,0.98,0,0.98,0,0.98,9.82,0.98,0
 84-94,0,1.06,0,0,27.61,0,1.06,2.12,1.06,0,0,2.12,104.08,0,0,0,0,1.06,0,1.06,4.25,0,0
 96-106,0,1.09,1.09,0,30.6,1.09,0,1.09,4.37,0,1.09,0,106.01,0,0,1.09,0,1.09,0,7.65,4.37,0,1.09
108-118,0,1.53,1.53,1.53,26.04,0,0,5.36,0.77,0.77,1.53,0,108,0,0.77,0,0,0,0.77,3.83,2.3,0,0
120,0,1.96,1.96,0,21.56,0,0,1.96,0,0,1.96,0,125.43,0,0,1.96,0,0,0,1.96,3.92,1.96,0
