stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,3,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,1,1,7,0
 24-34,0,0,0.82,0.82,0,0,1.64,0.82,0,0,0,0,0,3.28,0,0.82,1.64,0,0.82,0,0.82,0
 36-46,0,0,0,2.42,0.81,0,0.81,0,0,0,0.81,0,0,5.64,0,0,1.61,0,0,0,2.42,0
 48-58,0,0,0,2.87,0,0.57,1.15,0,0,0,1.15,0.57,0,6.31,0.57,0,3.44,0,0,0,1.15,0.57
 60-70,0,0,0,1.96,0,0.98,0.98,0,0,0,0.98,0,0,6.87,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,4.91,0,0,1.96,0,0,0,2.94,0,0.98,4.91,0,0,8.83,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,2.12,0,0,4.25,0,1.06,14.87,0,0,0,1.06,0
 96-106,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,0,2.19,0,0,13.11,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,0,0,0,1.53,0,0.77,6.13,0,0,12.26,0,0,0,0,0
120,0,5.88,0,0,1.96,0,0,0,3.92,0,1.96,0,0,3.92,0,0,19.6,0,0,0,0,1.96
