stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,34.17,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,1,19,211,19,0,23,0,0,0,4,17,0,1,9,7,0,0,0,0,128,1,0,121,148,7,0,5,2,0,0,2,20,0,66,53,0,0,13,0,0
 24-34,0,0,0.82,20.52,151.86,4.1,0,22.16,0,0.82,1.64,1.64,16.42,0,4.1,38.58,0,4.1,1.64,1.64,0,499.9,0.82,0.82,228.2,119.84,8.21,4.93,9.85,0,0,3.28,0.82,0,0.82,9.85,39.4,0,0,62.39,0,0
 36-46,0,0,0,0,77.34,0,0,17.72,0,8.06,16.11,2.42,9.67,0,4.03,45.92,0,1.61,4.03,3.22,0,945.05,0,10.47,273.12,95.87,7.25,5.64,11.28,0,0.81,3.22,0.81,0.81,0,0,26.59,0,1.61,68.48,0.81,0
 48-58,1.15,0,0,0,63.69,1.72,0,22.95,0.57,15.49,32.71,5.16,3.44,0.57,5.16,53.36,0.57,0.57,5.16,1.15,0.57,1109.16,0.57,12.62,180.75,91.81,1.72,1.72,11.48,0.57,0.57,2.87,0,0,0.57,0,17.21,0,3.44,46.48,1.15,2.3
 60-70,0.98,0,0.98,0,94.23,2.94,0,55.95,0,28.46,61.84,18.65,3.93,0,6.87,86.37,0.98,0.98,6.87,1.96,0,1849.19,0,40.24,182.56,136.43,1.96,4.91,28.46,0,4.91,4.91,0,0,0.98,0,19.63,0,21.59,77.54,7.85,0.98
 72-82,0,0,0,0,104.06,1.96,0,143.32,1.96,29.45,117.8,31.41,11.78,0,16.69,98.17,5.89,3.93,8.83,0.98,0,2302,1.96,48.1,237.56,156.08,1.96,7.85,46.14,0,3.93,7.85,0,0.98,0,0,11.78,0.98,40.25,125.65,28.47,1.96
 84-94,0,0,2.12,0,176.3,0,0,204.97,3.19,56.29,80.71,27.61,4.25,0,8.5,130.63,8.5,4.25,7.43,1.06,0,1687.58,2.12,47.79,196.48,71.16,3.19,6.37,35.05,0,3.19,14.87,0,0,3.19,0,5.31,2.12,27.61,139.13,20.18,1.06
 96-106,0,0,1.09,0,227.31,5.46,3.28,138.79,3.28,79.78,64.48,45.9,15.3,0,25.14,146.44,10.93,4.37,20.76,3.28,1.09,1617.41,12.02,42.62,171.58,158.46,2.19,18.58,62.29,0,18.58,18.58,0,0,6.56,0,6.56,1.09,29.51,163.93,32.79,1.09
108-118,0,0,0.77,0.77,203.75,6.13,1.53,66.64,0.77,92.68,74.3,24.51,9.19,0,9.19,113.36,9.19,3.06,6.89,2.3,1.53,1873.55,3.83,45.19,177.7,162.38,2.3,11.49,58.98,0,9.96,12.26,0,0,0,0,3.83,1.53,22.98,134.81,24.51,0
120,0,0,0,0,99.95,5.88,0,47.03,0,47.03,54.87,13.72,5.88,0,11.76,129.35,3.92,0,9.8,3.92,0,1072,3.92,17.64,111.71,111.71,3.92,7.84,29.4,0,0,11.76,0,0,0,0,1.96,1.96,17.64,84.27,21.56,1.96
