stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56,0,4,0,1,0,0,0,0,3,14,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,3.28,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0.82,576.24,0,22.98,0,0,0,1.64,0,0,0,67.31,0,0,0.82,0,0
 36-46,0,0,0.81,0,2.42,0,54.79,0,0,0,7.25,0,0,0,0,0,0,0,0.81,0,9.67,0,0,0.81,2120.52,0,24.98,0.81,0,0,0.81,0,0,0,219.95,0,0,0.81,0,1.61
 48-58,0,0,0.57,0,12.62,1.15,321.9,0.57,1.72,1.72,26.97,0,0,0.57,1.72,0,1.72,0.57,0.57,1.15,21.23,0,1.15,2.87,3124.37,0.57,11.48,1.15,0,0,3.44,0,0,0,383.88,0,0,1.72,0,2.3
 60-70,0,0,1.96,0,7.85,0,620.32,0,0,0,19.63,0,0,0,1.96,0,0,0.98,0,0.98,26.5,0,0.98,3.93,3979.09,0.98,14.72,0,0,0,5.89,0.98,0,0,404.39,0.98,0.98,2.94,0,1.96
 72-82,0,0,0.98,0,12.76,0.98,426.04,0.98,0,0.98,42.21,0,0,0,0,0,0,0,0.98,0,33.38,0,0,2.94,2276.47,0,11.78,1.96,0,0.98,7.85,0,0,0,223.82,1.96,1.96,1.96,0,0
 84-94,0,0,3.19,0,18.05,2.12,319.67,0,1.06,2.12,39.3,0,1.06,2.12,1.06,0,1.06,1.06,1.06,0,29.74,1.06,4.25,7.43,1048.23,0,9.56,2.12,0,1.06,12.74,0,1.06,0,130.63,3.19,1.06,2.12,2.12,1.06
 96-106,0,0,0,0,8.74,0,198.9,0,0,1.09,32.79,1.09,0,0,0,0,0,2.19,1.09,0,22.95,0,3.28,1.09,693.96,0,10.93,4.37,0,0,8.74,0,0,0,41.53,1.09,0,1.09,4.37,1.09
108-118,0,0,1.53,0,12.26,0.77,144,0,3.06,1.53,10.72,0,0,0.77,1.53,0.77,2.3,0.77,0.77,0,15.32,0,0.77,1.53,756.77,0,9.19,0,0,0,5.36,0,0,0,17.62,0,0,0,0,0
120,0,0,0,0,11.76,3.92,199.9,1.96,1.96,0,37.24,0,0,0,0,0,0,0,0,1.96,13.72,0,0,7.84,932.86,0,5.88,0,0,0,7.84,0,0,0,31.36,0,0,0,0,0
