stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,hatching_gland,heart,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,39.53,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,30.65,306.48,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,10.51,0,15.77,0,0,21.03,0,10.51,0,0,0,0,178.75,13.14,89.38,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,9.44,0,0,0,0,0,0,47.2,12.59,37.76,0,0,3.15,0,0
 14-21,0,0,0,3,6,1,0,1,1,0,2,3,14,0,0,0,5,0,3,3
 24-34,0,0,0,1.64,0,0,0,0,0.82,0,4.93,0,9.85,0,0,4.93,0,0,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0,0,1.61,0,1.61,0,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,0,1.72,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0
