stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0
  5-6,30.65,147.11,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,435.2,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,5.26,0,0,0,18.4,0,0,0,0,0,0,0,60.46,0,0,0,15.77,102.52,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,53.5,3.15,0,0,9.44,40.91,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,8,2,0,0,1,0,0,8,0,1,1,0,1,10,1,0,0,0,540,2,13,3,3,0,0,0,0
 24-34,0,0,0,0,12.31,1.64,0,0,2.46,0,0,27.09,0,1.64,11.49,0,0.82,55,0,0,0,0,504.01,0,30.37,0.82,5.75,0,0.82,0,0
 36-46,0,0,0,0,12.09,4.03,0.81,0,0.81,0,0,7.25,0,0.81,2.42,0,0.81,97.49,0.81,0,0.81,0,310.99,0,10.47,0,1.61,0,0.81,0,0.81
 48-58,0,0,0,0,16.64,16.64,0,0,0.57,0,0.57,0.57,0,1.72,5.74,0,0,39.02,0,0.57,0,0,88.94,0,2.87,0,2.3,0,0,0,0
 60-70,0,0,0,0,32.39,3.93,0,0,3.93,0.98,0,2.94,0.98,0.98,0,0,0,23.56,0,0,0,0,29.45,0,1.96,0,0,3.93,0,0,0
 72-82,0,0,0.98,0,44.17,9.82,0,0,42.21,0.98,0,2.94,0,0.98,2.94,0,0,32.39,0,0.98,0,0,8.83,0,1.96,0,0,18.65,0,0,0
 84-94,0,0,0,0,95.58,2.12,1.06,1.06,83.9,0,0,4.25,0,2.12,1.06,1.06,0,37.17,0,1.06,0,0,24.43,0,0,0,0,69.03,0,1.06,0
 96-106,0,0,2.19,1.09,114.75,1.09,0,2.19,145.35,0,0,3.28,0,1.09,3.28,0,0,32.79,0,0,0,0,8.74,0,5.46,0,0,126.77,1.09,0,0
108-118,0,0,1.53,1.53,82.72,5.36,1.53,3.06,166.98,0,0,9.19,0,3.83,4.6,0.77,0.77,19.15,0,0,0,0,9.19,0,2.3,0,0,120.26,1.53,0,0
120,0,0,0,0,62.71,1.96,0,0,78.39,0,0,3.92,0,0,3.92,0,0,13.72,0,0,0,0,1.96,0,5.88,0,0,47.03,0,0,0
