stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0,1,3,0,29,0,0,1
 24-34,0,0,0,0.82,0,0,0,9.03,0,0,0,4.1,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0,1.64,146.11,3.28,0,2.46,0,0,3.28,2.46,0.82,41.86,0,0,0
 36-46,0,0,0,0,0,0,0,31.42,0,0,0,8.86,0,0,0,0,0,0.81,0,1.61,0.81,0,0,0,149.85,3.22,0,1.61,0,0,2.42,0.81,0,72.51,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,24.1,0,0,0,20.08,0,0,0,0,0,0.57,0,1.72,3.44,1.15,0,1.15,96.97,0.57,0.57,0.57,0,0,0.57,0,0,37.87,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,13.74,0.98,0,0,32.39,0,0,0,0.98,0.98,0.98,0,0,2.94,0,0.98,0,76.56,0.98,0.98,4.91,0,0,0.98,0,0,14.72,0.98,0,2.94
 72-82,0,0,0,0,0.98,0,0,16.69,0,0.98,0,45.16,0.98,0,3.93,0,0,1.96,0,0,11.78,0.98,0,0,43.19,0,0.98,0.98,0,0,1.96,0,0,3.93,0,1.96,0
 84-94,0,0,1.06,0,1.06,1.06,0,9.56,0,0,0,23.36,0,1.06,0,2.12,4.25,1.06,0,0,5.31,0,0,0,32.92,1.06,0,1.06,0,1.06,8.5,0,0,4.25,1.06,0,0
 96-106,0,0,0,0,0,0,0,12.02,0,0,0,26.23,0,0,3.28,1.09,0,2.19,0,0,5.46,1.09,0,1.09,22.95,0,1.09,4.37,0,0,6.56,0,0,0,0,0,0
108-118,0,0,0.77,0,3.06,0,0.77,12.26,0,0,0.77,22.98,2.3,0,3.83,0,1.53,0,2.3,0,3.06,0.77,0,0,22.21,1.53,0,3.83,0,0,4.6,1.53,0,0,0,0.77,3.83
120,0,0,0,0,3.92,0,0,7.84,1.96,0,0,15.68,1.96,0,1.96,0,1.96,0,0,0,9.8,0,0,0,33.32,1.96,0,1.96,0,0,3.92,1.96,0,3.92,0,0,0
