stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,1,6,7,2,0,0,0,5,2,0,0,0,0,0,0,2,0,2,0,0,2,38,3,0,0,1,0,1,2,1,1,6,27,0,0,0,0,0
 24-34,0,0,1.64,3.28,19.7,17.24,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0.82,0.82,4.93,0,0,2.46,77.98,2.46,3.28,0.82,0,0,0.82,0,0.82,0,1.64,15.6,0,0,0.82,0,1.64
 36-46,0,0,0.81,0.81,8.86,15.31,0,0,0,1.61,1.61,0,0,0,0,0,0.81,1.61,0,2.42,0.81,0,0,106.35,0.81,1.61,0,0,0,1.61,0,0,0,0,20.14,0,0,0,0,1.61
 48-58,0,0,0,0,13.2,20.66,0,0.57,0.57,4.59,0.57,0,0,0,0,1.15,0,0.57,0,6.89,0,0,0.57,93.53,0.57,1.15,0.57,0,0,1.15,0,0,0,0,17.21,0,0,0.57,0,0.57
 60-70,0,0,0,2.94,9.82,110.91,0,0,0,2.94,1.96,0,0,0,0,0.98,0,0.98,0,5.89,0,0,0.98,145.27,0,0,0,0,0,0.98,0,0,0,0,15.7,0,0,0.98,0,1.96
 72-82,0,0,0,1.96,31.41,215.97,0,0.98,0.98,3.93,3.93,0,0,1.96,0.98,5.89,0,0,0,12.76,0,0,1.96,168.85,0,3.93,0,0,0,1.96,0,0,0,0,11.78,0,1.96,2.94,0,0
 84-94,0,1.06,0,8.5,15.93,158.24,3.19,0,0,3.19,4.25,1.06,0,0,0,5.31,0,0,1.06,4.25,0,0,3.19,111.51,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,0,1.06
 96-106,0,0,0,1.09,14.21,165.02,3.28,1.09,0,18.58,6.56,0,0,1.09,0,2.19,0,0,0,6.56,0,0,1.09,98.36,0,0,0,0,1.09,3.28,0,0,0,0,5.46,0,1.09,2.19,1.09,1.09
108-118,0,0,0.77,5.36,9.19,127.92,1.53,0,0,12.26,11.49,0,0,0,0,6.89,0.77,0,0,3.06,0,0.77,1.53,118.72,0.77,2.3,0.77,0,0,1.53,0,0.77,0,0,3.06,0.77,0,1.53,0.77,1.53
120,0,0,0,5.88,15.68,115.63,1.96,0,0,17.64,3.92,0,0,0,0,1.96,0,0,0,11.76,0,0,1.96,137.18,0,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,3.92,0
