stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,27,0,0,1,5,1,6,7,0,0,0,0,0
 24-34,0,1.64,0.82,1.64,0.82,2.46,0.82,0,0,0,2.46,0,0.82,0,0,0,0,2.46,0.82,0,0,17.24,0.82,0,0.82,7.39,0,0.82,2.46,0,0,4.1,0,0
 36-46,0,0,0,3.22,0,5.64,0,0,1.61,0,0,0,0.81,0,0,0.81,0,4.03,0,0,0,63.65,0.81,1.61,0.81,4.03,0,0,15.31,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,9.18,0,0.57,1.72,0,0,0,0,0,0,0,0.57,1.15,0,0,2.3,50.49,0,1.72,0.57,1.15,0,0,13.2,0,0,1.15,0,0
 60-70,0,0.98,0,0.98,0,25.52,0,0.98,0,2.94,0,0,0,0.98,0,0,0,5.89,0,0,0.98,84.41,0,0.98,0,0.98,0,0,10.8,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,46.14,0.98,0,4.91,0.98,0,1.96,0.98,0,2.94,0,0,9.82,0,1.96,0,99.15,1.96,2.94,2.94,3.93,0,0,9.82,0,0.98,0,0,0.98
 84-94,0,0,0,3.19,0,8.5,0,1.06,5.31,0,0,0,4.25,1.06,2.12,2.12,0,6.37,0,0,1.06,40.36,0,0,5.31,3.19,0,0,5.31,2.12,1.06,3.19,0,1.06
 96-106,0,2.19,0,3.28,0,14.21,1.09,0,6.56,5.46,0,1.09,1.09,1.09,0,0,0,5.46,0,0,2.19,32.79,0,12.02,4.37,7.65,0,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0,2.3,1.53,20.68,0,1.53,3.83,0.77,0,1.53,3.06,0,1.53,1.53,0,3.83,0,0,0.77,46.72,0.77,3.83,3.06,6.89,0.77,0,0,0,0.77,0.77,1.53,0
120,0,0,0,3.92,3.92,13.72,0,0,1.96,3.92,0,0,0,1.96,5.88,3.92,0,9.8,3.92,0,3.92,45.08,0,3.92,5.88,1.96,1.96,0,0,0,0,3.92,1.96,0
