stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,46.79,1.64,0,0,0,0.82,13.13,0,0
 36-46,0,0,0,2.42,0,0.81,0,0,0,0.81,0,89.43,1.61,0,0,0,0,16.11,0,0
 48-58,0,0,0.57,14.35,0.57,0,1.15,0,0,1.15,0,113.61,1.72,0,0,0,0,21.8,0,0
 60-70,0,0,0,65.76,0,0,0.98,0,0,0.98,0,163.91,1.96,0,0,0,0,26.5,0.98,0
 72-82,0,0,0.98,42.21,0,0,1.96,0,0,1.96,0.98,107,0,0.98,0,0,0,7.85,0,0.98
 84-94,0,0,2.12,35.05,0,0,4.25,1.06,0,6.37,0,66.91,0,0,0,0,0,5.31,0,0
 96-106,0,0,0,31.69,0,0,2.19,0,0,2.19,0,45.9,3.28,0,0,0,0,1.09,0,0
108-118,0,0,0.77,18.38,0,0,0.77,0,1.53,1.53,0,50.55,1.53,0,0,0,0,0.77,0,0
120,0,0,0,11.76,0,0,0,0,0,0,1.96,41.16,1.96,0,0,0,0,1.96,0,1.96
