stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,18.88,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,1,0,0,0,0,1,0,0,0,3,88,0,0,1,0,0
 24-34,0,0,0.82,1.64,0,7.39,0,0,0,2.46,0,0,0,0.82,0,0,0,4.1,0,0,1.64,707.58,0.82,9.03,0,0,0,4.93,0,0,0.82,0,190.44,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,58.81,0,0,0,8.06,0,0,0,0,0,0,0,5.64,0,0,0.81,1395.42,0,5.64,0.81,0,0,0.81,0,0,0,0,266.68,0,0,0,0,0
 48-58,0,0,0,3.44,0,239.28,0,0.57,1.15,30.99,0,0.57,0,1.72,0.57,0,0.57,13.77,0,0,2.87,1756.99,0.57,2.3,0,0,0.57,4.02,0,0,0.57,0,261.66,0,0,1.15,0,1.72
 60-70,0,0,0,1.96,0,295.44,0,0.98,0,40.24,1.96,0,0,0.98,0,0.98,0,15.7,0.98,0,2.94,2058.25,0.98,2.94,0.98,0,0,4.91,0,0,0,0,167.84,0,1.96,0.98,0.98,2.94
 72-82,0,0,1.96,5.89,0.98,267.99,0,0.98,0,40.25,0,0,0,0,0,0,0.98,37.3,0.98,0,5.89,1628.58,0.98,3.93,0,0,0,1.96,0,0.98,0,0,70.68,0.98,0,2.94,0,0.98
 84-94,0,0,3.19,10.62,2.12,176.3,1.06,0,0,32.92,0,0,2.12,0,2.12,0,0,21.24,1.06,0,0,719,0,1.06,0,0,0,7.43,0,0,0,0,50.98,0,1.06,4.25,1.06,1.06
 96-106,0,0,4.37,7.65,6.56,114.75,0,0,1.09,27.32,5.46,0,1.09,2.19,2.19,1.09,2.19,18.58,0,1.09,1.09,604.34,0,4.37,3.28,0,1.09,8.74,0,0,0,0,24.04,2.19,2.19,0,1.09,0
108-118,0,0,0.77,5.36,2.3,69.7,0,0.77,0,18.38,0.77,0,0,0.77,0,0,0.77,9.96,1.53,0,0,652.6,0,3.06,1.53,0,0.77,4.6,0,0.77,0,0,9.19,0,0,1.53,0.77,0
120,0,0,0,3.92,1.96,80.35,0,1.96,0,13.72,1.96,0,0,0,0,0,0,15.68,0,0,0,633.01,0,1.96,0,0,0,0,0,0,1.96,0,13.72,0,0,0,0,0
