stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,3,0,0,0,1,1,0,0,0,0,0,2,0,0,1,14,1,0,1,0,0,2,2,0,0,1,4,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,28.73,0,0,0,0,0,3.28,0,0,0,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,4.83,0.81,0,0,1.61,0.81,0,0.81,0,0,0,8.06,0,0,0.81,52.37,0,0,0,0,0,2.42,0,0,0.81,0,13.7,0,0,0,0
 48-58,0,0,0,0.57,0,0,16.07,1.15,0.57,0.57,6.31,0,0,0,0.57,0,0.57,5.16,0.57,0.57,1.15,53.36,0,0,0,0,0,0.57,0,0,1.15,0,10.33,0,1.15,0,0.57
 60-70,0,0,0,2.94,0,0,46.13,0.98,0.98,0,4.91,0,0,0,0,0,0,7.85,0,0,1.96,63.8,0,0,0,0,0,3.93,0,0,0.98,0,9.82,0.98,0,0,0
 72-82,0,0,0,0,1.96,0,111.91,0,0,0,7.85,0,0,0,0,0,0,11.78,0,2.94,2.94,67.73,0,0,0.98,0,0,0.98,0,0.98,0,0,1.96,0,0.98,0,0
 84-94,0,0,0,2.12,0,0,45.67,0,0,0,10.62,0,0,1.06,0,0,0,3.19,0,0,1.06,27.61,0,0,0,0,0,2.12,0,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,0,4.37,0,0,50.27,0,0,0,6.56,0,1.09,0,0,1.09,1.09,5.46,0,1.09,0,31.69,0,0,0,0,1.09,1.09,0,0,0,0,3.28,1.09,0,0,0
108-118,0,0,0,0,0,0.77,52.09,0,0.77,1.53,3.06,0,0,1.53,0,0,0,3.83,0,0,0.77,33.7,0,0.77,0,0,0,1.53,0,0.77,0,0,1.53,0,0,0,0
120,0,0,0,1.96,1.96,0,70.55,0,1.96,0,1.96,0,3.92,1.96,0,0,0,7.84,0,0,0,25.48,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0
