stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,5,1,0,0,1,28,0,0,0,0,0,23,1,0,13,69,1,2,0,1,1,0,0,2,84,0,0,0,0,0
 24-34,0,0,2.46,0,2.46,0,3.28,1.64,13.13,0,1.64,0,0,0,28.73,0,0,7.39,410.43,2.46,1.64,0,16.42,0,0.82,0,1.64,91.94,0,0,0,0,0
 36-46,0,0,0.81,0,10.47,0.81,4.03,1.61,8.06,0,0.81,0,0,0,25.78,0.81,1.61,8.86,785.53,0,0.81,0,9.67,0,0.81,0,0,104.74,0,0,0.81,0,0.81
 48-58,0,0,0,0,29.84,0.57,2.87,3.44,2.87,0,0,0,0.57,0.57,20.66,0,1.15,5.16,809.64,0,0,0,2.87,0,0,0.57,0,115.33,0,0,0,1.72,0
 60-70,0,0,3.93,0,14.72,0.98,5.89,2.94,7.85,0,0,0,0.98,0,12.76,0.98,3.93,0.98,410.28,0,0,0,1.96,0,0.98,0,0,76.56,0,0,0,2.94,0
 72-82,0,0.98,0.98,0,15.71,0,6.87,4.91,11.78,0.98,0,0,0,0,15.71,0,4.91,0,207.13,0,0,0,1.96,0,0,0,0,31.41,0,0.98,0,11.78,0
 84-94,0,0,2.12,1.06,21.24,0,7.43,5.31,26.55,0,0,0,1.06,0,6.37,0,8.5,1.06,112.58,1.06,0,0,6.37,0,0,0,0,15.93,1.06,0,1.06,10.62,0
 96-106,0,0,5.46,2.19,13.11,0,5.46,3.28,39.34,0,1.09,2.19,1.09,0,9.84,0,5.46,0,96.17,1.09,0,0,9.84,0,1.09,0,0,10.93,1.09,0,1.09,6.56,0
108-118,0,0.77,4.6,0,1.53,2.3,6.89,0.77,31.4,0.77,0,0,0,0.77,7.66,0,0.77,0.77,103.41,0,0,0,6.89,0,0,0,0,10.72,0,0,0,8.43,0
120,0,0,0,0,5.88,0,3.92,1.96,13.72,0,3.92,0,0,0,5.88,0,0,0,56.83,0,0,0,11.76,0,0,0,0,3.92,0,0,0,5.88,0
