stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,mesenchyme,neural,notochord,periderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0.82,1.64,0,0.82,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0.81,0.81,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,3.44,0.57,1.15,0,0,0,0
 60-70,0,0,0,2.94,0,0,3.93,0,0,9.82,2.94,7.85,0,0,0.98,0
 72-82,0,0,0,1.96,0,0,4.91,0,0,13.74,2.94,6.87,0,0,1.96,0
 84-94,0,0,3.19,1.06,0,1.06,9.56,0,0,3.19,6.37,3.19,0,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,5.46,0,1.09,3.28,3.28,3.28,0,0,0,0
108-118,0,0,0,0,0,0,5.36,0,0,5.36,3.06,3.06,0,0,0,0
120,0,0,1.96,0,0,0,3.92,0,1.96,3.92,0,1.96,0,0,0,0
