stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,7.89,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,144.58,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,226.58,6.29,0,0,66.09,0,0,3.15,0,6.29,3.15,3.15,0,0,0,0
 14-21,0,0,0,2,18,3,0,9,0,0,0,1,3,0,0,0,1,0,1,0,10,0,0,9,106,3,1,0,4,0,11,0,12,1,7,31,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,13.13,0,0,0.82,2.46,0,0,0,0.82,0.82,0,0,0,11.49,0,0,2.46,90.29,0,0.82,0,0,0,13.13,0,0,0,0.82,22.16,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,22.56,0,0,0.81,3.22,0,0,0.81,0.81,0,0,0,0,8.06,0,0,4.03,94.26,0,0,0.81,0,0,4.83,0,0,0,0,15.31,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,0,52.79,0,0.57,0,6.31,0,0,0.57,0.57,0,0.57,0,1.72,16.64,0,1.15,2.87,100.42,0,0.57,0,0,0,1.72,0,0,0,0,20.66,0,2.87,0,1.15
 60-70,0,0,0.98,0,0.98,0,0,40.24,0,0,0.98,2.94,0,0,0,0,0,0,0.98,0,11.78,0,0.98,1.96,58.89,0.98,0.98,0.98,0,0,0.98,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,5.89,0,0.98,56.94,0,0,0.98,10.8,0,0,0.98,0,0.98,0.98,0,0,16.69,0.98,1.96,1.96,81.48,0,0.98,0,0,0.98,5.89,0,0,0,0,8.83,1.96,0.98,0.98,0
 84-94,0,0,0,0,3.19,0,0,14.87,1.06,0,0,1.06,2.12,0,0,0,0,1.06,1.06,0,12.74,0,0,1.06,25.49,0,1.06,1.06,0,0,8.5,0,0,1.06,0,1.06,0,5.31,0,1.06
 96-106,0,0,0,0,4.37,0,0,15.3,0,0,0,2.19,0,0,1.09,0,0,0,0,0,5.46,0,0,0,20.76,0,0,0,0,0,2.19,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0,0.77,1.53,0,13.02,0,0,0,2.3,0,0,0,0,0.77,0,0,0,3.83,0,0,2.3,25.28,0,0.77,0.77,0,0,3.83,0,0,0.77,0,0.77,0,1.53,0,0.77
120,0,0,0,0,0,1.96,0,9.8,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,17.64,1.96,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0
