stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,1,1,1,0,2,0,0,0,0
 24-34,0,0,3.28,0,0,3.28,0.82,0,0,0,1.64,0,0.82,0,0,2.46,0,0,0.82,34.48,0,2.46,0,0,2.46,0,0,0.82,0,9.85,0,0,3.28,0
 36-46,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0.81,0,0,4.03,0,0,0.81,53.17,0,2.42,0.81,0,2.42,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0.57,0,0,21.8,0.57,4.59,0,0.57,0.57,0.57,0,0,0,6.89,0,0,0.57,53.94,0,1.15,0,0,1.15,0,0,0,0,6.89,0,0,1.15,1.15
 60-70,0,0,0.98,0,0,16.69,0,3.93,0,0,0,0,0,0,0,6.87,0,0,0,56.93,0,0,0,0,0.98,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0,27.49,0.98,5.89,0,0,0,0.98,0,0.98,0,11.78,0,0.98,0,59.88,0,0,1.96,0,0.98,0,0,0.98,0,6.87,0.98,0,2.94,0
 84-94,0,0,2.12,1.06,0,20.18,0,2.12,2.12,0,0,0,2.12,0,0,9.56,0,0,0,26.55,0,1.06,1.06,0,4.25,0,0,0,1.06,1.06,0,1.06,1.06,0
 96-106,0,1.09,2.19,3.28,1.09,12.02,1.09,3.28,0,0,0,4.37,1.09,0,0,5.46,1.09,0,0,36.06,0,1.09,1.09,0,1.09,0,0,0,0,2.19,0,0,2.19,0
108-118,0,0,2.3,0,0,3.83,0,7.66,1.53,0,0.77,1.53,2.3,0.77,2.3,5.36,1.53,0,2.3,26.81,0,0,2.3,0.77,1.53,0,0,0,0,0,0,0.77,0.77,1.53
120,0,0,3.92,1.96,0,7.84,3.92,5.88,0,0,0,3.92,0,0,0,1.96,1.96,1.96,1.96,27.44,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0
