stage,blastomeres,epidermis,erythrocytes,eye,immune,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,3,0,1,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,1.61,11.28,0,0,0,0,0.81,0
 48-58,0,0,0,1.15,0,0.57,0,2.87,0,0,0.57,0,2.87,0
 60-70,0,0,0,0,2.94,0,1.96,2.94,0,0,0,0,0.98,0
 72-82,0,0,0,2.94,1.96,0,1.96,5.89,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,3.19,0,1.06,2.12,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,0,15.3,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,6.13,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,7.84,0,0,0,0,1.96,1.96,0,0,0
