stage,axial,blastomeres,epidermis,eye,glial,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,26.29,0,0,0,0,0,0,97.26,0,5.26,0,0,0,0,0
 10-12,0,12.59,0,28.32,0,0,0,0,0,0,81.82,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.06,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,1.15,0,0,0,0.57,0,0,10.33,0,0,0,0,0,1.72,0
 60-70,0,0,0,4.91,0,0,0.98,0.98,0.98,0,9.82,0,0,0,0,0,0.98,0
 72-82,0,0,0,10.8,0,0,0,0.98,0,0,25.52,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,0,0,7.43,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,6.56,1.09,0,0,0,0,1.09,12.02,2.19,0,1.09,0,0,1.09,1.09
108-118,0,0,0,2.3,0,0.77,0,0,0,0,7.66,0,0,0,0,0,0,0
120,0,0,1.96,5.88,1.96,1.96,0,0,0,0,7.84,0,0,0,0,0,0,0
