stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,2.46,3.28,0.82,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,5.64,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,0,0.57,0,0,1.15,0,1.15,2.87,0,0,0,0,1.15,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,8.83,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98,3.93,0,0,1.96,0,0,0,0
 84-94,0,2.12,0,3.19,0,0,0,0,0,1.06,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,1.09,2.19,0,0,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0.77,0.77,0,0.77,0.77,1.53,0.77,0,0,1.53,0,6.89,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0
