stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,2,0,0,4,0,0,6,9,0,0,0,0,0
 24-34,0,0,2.46,0,10.67,0,0,0,0,0,0,0.82,0,0,0,0,0,0,8.21,0,0,0,359.53,0,0,0,0,0,0,0,0,0,2.46,57.46,0,0,0.82,0,0
 36-46,0,0,4.83,0,265.07,0,0,0.81,8.86,0,0,0.81,0,0,0,0,0,0,17.72,0,1.61,3.22,1650.82,0,0.81,0,0,0,0,0,0,0,0,290.85,0,0.81,1.61,0,0
 48-58,0,0,12.62,0.57,942.19,1.15,2.3,2.3,53.36,0,0,1.15,1.15,0.57,0.57,0,1.15,1.72,34.43,0.57,2.87,7.46,1968.72,1.15,0,0,0,0,1.15,0.57,0,0,0,394.2,0,0.57,4.59,0,0.57
 60-70,0.98,0,5.89,0.98,1070.84,0,2.94,0.98,28.46,0,0,0,3.93,0,0,0.98,0,0,30.43,0,0,5.89,1235.74,0,0.98,0.98,0,0.98,3.93,0,0,0.98,0,171.77,0,0.98,0.98,0,0.98
 72-82,0,0,9.82,19.63,737.23,0,0,0.98,29.45,0.98,0,1.96,11.78,0.98,0.98,0,0.98,0,28.47,0,2.94,4.91,879.57,0,0.98,0,0,1.96,1.96,0,0.98,0,0,67.73,0,2.94,3.93,4.91,1.96
 84-94,0,0,20.18,13.81,420.57,2.12,2.12,3.19,38.23,1.06,3.19,1.06,4.25,1.06,0,0,2.12,0,32.92,0,2.12,4.25,451.37,0,0,1.06,0,0,4.25,0,1.06,1.06,0,54.16,0,2.12,1.06,0,0
 96-106,0,0,15.3,16.39,272.12,1.09,0,2.19,18.58,1.09,0,5.46,17.49,0,3.28,0,1.09,0,28.41,0,1.09,2.19,297.25,0,1.09,3.28,0,0,2.19,0,0,0,0,24.04,1.09,2.19,1.09,0,1.09
108-118,0,0,8.43,3.83,233.62,1.53,0,0.77,14.55,0,0,0,32.17,0,0,0.77,0.77,0,14.55,0,2.3,3.83,399.83,0.77,0.77,1.53,0,0,0.77,0,0,0,0,8.43,0,0,1.53,0,0
120,0,0,15.68,7.84,262.61,1.96,0,0,19.6,0,0,0,29.4,0,0,0,0,0,17.64,0,0,1.96,360.6,0,0,0,0,0,3.92,0,0,0,0,9.8,0,1.96,0,0,0
