stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,10,0,0,0,0,0,0,0,0,0,2,8,0,6,0,0
 24-34,0,0,0,4.1,4.1,0,1.64,0,0,0,0.82,0,0.82,1.64,1.64,0,0,0,0.82,1.64,0,0,0.82,25.45,0,0,0,0,0,0.82,0,0,0,0,9.85,0,18.06,0,2.46
 36-46,0,0,0,2.42,0.81,0,26.59,0.81,0,0,0,0,1.61,0,0,0.81,0.81,0,0.81,2.42,0,0,0,56.4,0.81,0,0.81,0,0,0,0,0,0,0,15.31,0,11.28,0,0.81
 48-58,0,0,0,2.87,1.72,0,49.92,0,1.15,0.57,3.44,0,1.72,3.44,0,0,0,0,0,5.16,0.57,0,3.44,69.43,0.57,1.15,1.72,0,0,0.57,0,0,0,0,19.51,0,12.05,0,1.15
 60-70,0,0,0,7.85,2.94,0,163.91,2.94,2.94,0,3.93,0,0.98,14.72,0.98,0,0.98,0,0,10.8,1.96,0,1.96,111.89,0,0.98,3.93,0,0,0,0,0,0,0,16.69,0,9.82,0,0.98
 72-82,0,0,0,12.76,34.36,0,244.43,0.98,1.96,0,9.82,0,1.96,14.72,0,0,1.96,2.94,1.96,19.63,0.98,0,0,126.63,0.98,2.94,13.74,0,0,0,0,0.98,0,0,12.76,7.85,42.21,1.96,0.98
 84-94,0,0,0,19.12,20.18,1.06,130.63,0,10.62,1.06,7.43,0,1.06,35.05,2.12,0,1.06,2.12,2.12,10.62,1.06,0,0,72.22,0,1.06,12.74,0,1.06,0,0,7.43,0,0,6.37,9.56,29.74,2.12,1.06
 96-106,0,3.28,0,34.97,31.69,0,118.03,0,9.84,1.09,10.93,2.19,2.19,18.58,1.09,2.19,6.56,4.37,2.19,10.93,1.09,3.28,1.09,62.29,1.09,5.46,19.67,0,1.09,2.19,0,7.65,2.19,0,8.74,13.11,53.55,2.19,0
108-118,0,0,0,22.21,19.15,4.6,94.98,0,13.02,2.3,8.43,3.06,0.77,12.26,0.77,0,3.83,5.36,0,3.83,0.77,0,0.77,59.75,0.77,0.77,17.62,0,0,0,0,0,1.53,0,6.13,18.38,31.4,2.3,2.3
120,0,0,0,47.03,23.52,1.96,72.51,1.96,11.76,1.96,7.84,3.92,0,21.56,1.96,0,3.92,1.96,0,5.88,0,0,0,52.91,0,5.88,11.76,0,0,0,0,7.84,0,0,0,3.92,35.28,1.96,0
