stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,25.18,0,0,0,47.2,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,298.96,6.29,0,0,44.06,0,3.15,0,18.88,0,0,0,0,0,0,0
 14-21,1,0,1,21,36,105,0,20,0,0,6,0,2,1,0,3,0,0,0,21,0,0,5,276,5,3,8,0,0,9,1,3,1,94,0,0,1,0,0
 24-34,0,0,4.1,4.1,14.78,50.89,0,30.37,0,0,10.67,0,0,0.82,0,6.57,0,0,0,22.98,1.64,0,4.1,829.89,0.82,19.7,5.75,0,0,18.88,0,0.82,0.82,192.08,0,0,8.21,0,0
 36-46,0,0,0,0,11.28,12.09,0,105.54,0,0,27.39,0.81,0,0,0,5.64,1.61,0.81,0.81,20.95,1.61,4.83,3.22,1428.45,0.81,17.72,5.64,0,0,12.89,0,1.61,0,323.88,0,0.81,8.86,0,1.61
 48-58,0,0,0,0,8.03,17.79,0,186.49,1.15,0,35.58,1.15,0,0.57,0,2.87,0.57,0.57,0,23.53,2.87,1.15,3.44,1130.97,0.57,6.31,2.87,0,0,10.33,0,0.57,0,251.33,0,0,4.02,0,0
 60-70,0,0,2.94,0,7.85,20.61,0,327.83,0.98,0,28.46,8.83,0,0,3.93,6.87,0.98,0.98,0,23.56,3.93,1.96,1.96,1013.91,0,4.91,3.93,0,0,9.82,0,0,0,147.23,0,0.98,9.82,0.98,0.98
 72-82,0,0,5.89,0,16.69,58.9,0,279.77,0,0.98,38.28,19.63,0.98,0.98,20.61,13.74,1.96,2.94,0,35.34,1.96,1.96,4.91,678.33,0,6.87,9.82,0,0.98,11.78,0,0.98,0,53.99,2.94,0.98,17.67,5.89,0.98
 84-94,0,0,3.19,0,19.12,48.85,1.06,128.51,0,1.06,37.17,18.05,1.06,0,25.49,13.81,1.06,2.12,0,29.74,2.12,4.25,3.19,333.48,1.06,6.37,8.5,0,0,31.86,0,1.06,0,35.05,14.87,1.06,9.56,0,0
 96-106,0,0,4.37,0,24.04,44.81,0,85.24,2.19,2.19,20.76,21.86,0,1.09,37.16,29.51,1.09,3.28,5.46,21.86,3.28,2.19,3.28,228.4,1.09,8.74,10.93,0,0,22.95,0,0,0,16.39,14.21,1.09,19.67,1.09,0
108-118,0,0,1.53,0,22.98,40.6,0.77,63.57,0.77,0.77,16.85,26.81,0,0,45.96,14.55,2.3,0.77,0.77,15.32,6.13,0.77,0.77,305.62,0,6.13,6.89,0,0.77,24.51,0,0,0,13.02,21.45,0.77,16.09,0,0.77
120,1.96,0,0,0,25.48,45.08,0,60.75,0,0,17.64,21.56,0,0,48.99,5.88,5.88,0,0,15.68,5.88,5.88,5.88,290.05,0,5.88,13.72,0,0,27.44,0,1.96,0,15.68,9.8,0,25.48,1.96,0
