stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,8,0,0,0,0,4,0,0,0,1,0,1,4,0,0,0,10,1,0,5,1,0,1,0
 24-34,0,0,0.82,0,0,1.64,0,0,1.64,0.82,0,0.82,4.1,0,0,0,7.39,0,0,0,0.82,0,0,0.82
 36-46,0,1.61,0,0,0,0,0.81,0,0,0,0,0,5.64,0.81,0.81,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,2.3,0,0,0,0,0,0,0.57,0,0,0,2.87,0,0,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,1.96,0.98,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,2.94,0,0.98,0,1.96,0.98,0,0.98,0,0.98,0.98,2.94,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,2.12,4.25,0,0,1.06,1.06,0,1.06,1.06,0,0,0,1.06,0,1.06,0,1.06,1.06,0,0
 96-106,1.09,2.19,0,0,1.09,4.37,0,0,0,0,0,0,4.37,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,1.53,1.53,1.53,0,0.77,3.06,0,0.77,0,0,0,0.77,1.53,0,0,0,0.77,0,0,0,0,0,0,0
120,1.96,0,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
