stage,endocrine.pancreas,epidermis,erythrocytes,glial,gut,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,pronephros,somites
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0.98,0,0.98,0.98,0.98,0,0,4.91,0,0,0.98,0,0,0
 84-94,0,0,0,0,6.37,0,1.06,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,6.56,0,0,6.56,2.19,1.09,4.37,0,0,0
108-118,0.77,0.77,0.77,0,28.34,0,0,19.15,0.77,0,5.36,0,0,0
120,0,0,0,0,33.32,1.96,0,23.52,0,0,9.8,0,1.96,0
