stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,102,28,2,0,0,0
 24-34,0,2.46,0,4.1,87.01,0,0,0.82,0,0.82,0,0,0,0.82,0,4.1,0,0,26.27,41.04,0,0,0,0,0,1.64,0.82,0,116.56,63.21,14.78,3.28,0,0
 36-46,0,1.61,0,3.22,87.82,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,14.5,35.45,0.81,0,0,0.81,0,0.81,0.81,0.81,81.37,8.86,6.45,0,0,0
 48-58,0,1.72,0,18.94,85.5,0,0,2.87,0,0.57,0,0.57,0.57,0.57,0,7.46,0,0,15.49,39.02,0.57,0,1.15,0,0,1.72,0,0,85.5,0,7.46,1.72,0,0
 60-70,0,0,0,13.74,62.82,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0,13.74,19.63,0,0,0,0,0,1.96,0,0,51.04,0,2.94,0,0,0.98
 72-82,0,0,0.98,12.76,56.94,0.98,0,0.98,0,0,0,0,0,0.98,0,9.82,0,0,10.8,26.5,0,0,0,0,0,1.96,0,0,39.27,0,0,0.98,0,1.96
 84-94,0,1.06,1.06,11.68,66.91,1.06,0,3.19,0,0,1.06,0,0,0,1.06,4.25,0,0,11.68,20.18,0,1.06,0,0,0,5.31,0,0,59.47,0,2.12,0,0,0
 96-106,0,1.09,2.19,17.49,81.96,0,1.09,5.46,0,2.19,1.09,1.09,1.09,2.19,0,10.93,0,0,12.02,19.67,0,2.19,1.09,0,0,6.56,0,0,59.01,0,0,2.19,1.09,0
108-118,0,0.77,1.53,6.89,82.72,0.77,0,3.83,0,0,0.77,0,0,2.3,0,6.89,0,0,17.62,12.26,0.77,0.77,0,0,0.77,1.53,0,0,45.96,0,0,1.53,0,0
120,0,5.88,1.96,7.84,62.71,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,1.96,11.76,11.76,0,0,0,0,0,0,1.96,0,13.72,0,0,0,0,0
