stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,12.26,404.56,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,36.78,0,0,0,0,0,0,0
  7-9,0,5.26,15.77,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,147.21,0,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,9,5,0,0,0,0,1,0,0,0,0,0,5,0,0,2,8,0,0,1,0,1,1,0,11,0,0,0,0
 24-34,0,0,1.64,1.64,0,1.64,0,0,0,1.64,0,0.82,0.82,0,0,9.03,0,0,2.46,3.28,0,0,0,0,1.64,0,2.46,4.1,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,1.61,0,0,0,0,0,1.61,1.61,0,0,0,10.47,0,1.61,0,0,0.81,0,0,2.42,0,0.81,0,0.81
 48-58,0,0,0,0,0,1.72,0.57,0.57,1.15,0,0,0,0,0,0,1.15,0,0,1.15,5.16,0.57,1.15,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0.98,8.83,0,0,0,0,0.98,0,0.98,2.94,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0,2.94,0,0.98,0,3.93,0,0.98,0,0,3.93,0,0.98,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,2.12,0,1.06,0,1.06,0,0,0,0,2.12,0,1.06,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,1.53,0,3.06,0,0,2.3,0,0,0,0,0.77,0,2.3,0.77,0,0,3.83,0,0,0,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,3.92,0,1.96,0,0,0,0,0
