stage,axial,blastomeres,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0,2.42
 48-58,0,0,1.15,0,0,0.57,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,1.09,0,1.09,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0
