stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,23.66,0,0,7.89,2.63,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,2.42,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,4.02,0,0,0,0.57,0.57,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,2.94,3.93,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,3.19,0,0,0,1.06,1.06,0,0,0,3.19,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,2.19,0,0,0,4.37,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0.77,1.53,0,0,0,3.06,0,0,0.77
120,0,0,0,1.96,3.92,0,1.96,0,0,0,0,0,0,3.92,1.96,0,0
