stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,24.52,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,2,0,0,0,0,1,0,0,0,3,0,4,1,0,0,0,5,1,0,0,0,0,0,2,4,0,1,0
 24-34,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,7.39,0,2.46,0.82,0.82,0,0.82,9.03,0.82,0,0,0,8.21,1.64,0,0,0,1.64,0
 36-46,0,0,0,3.22,0,1.61,0.81,0,0.81,0,0,0,0,8.06,0,0,3.22,0,0,0.81,31.42,0,0.81,0,0,9.67,1.61,0,4.83,0,0.81,0
 48-58,0,0,0,1.15,0,4.02,0,0.57,1.72,0.57,0,0,0,4.02,0,0,2.3,0.57,0,0,61.4,0,0,0,0,8.61,0,0,5.16,0,0.57,0
 60-70,0,0,0,2.94,0,10.8,0,2.94,2.94,0.98,0,0,0.98,5.89,0.98,0,2.94,0.98,0.98,0,80.48,0,0.98,0,0,4.91,1.96,0,5.89,0,0,0
 72-82,0,0,0,3.93,0,31.41,0,0.98,0.98,3.93,1.96,0,1.96,12.76,0.98,0,9.82,0,0,0,72.64,0,0,0.98,0,3.93,0.98,0,7.85,0,0.98,0.98
 84-94,0,0,0,5.31,2.12,11.68,0,1.06,2.12,3.19,6.37,0,5.31,6.37,0,0,0,2.12,0,1.06,44.61,0,0,1.06,0,7.43,4.25,0,4.25,1.06,1.06,1.06
 96-106,0,0,0,8.74,0,10.93,0,1.09,3.28,3.28,3.28,1.09,3.28,13.11,0,0,2.19,1.09,0,0,37.16,0,1.09,0,0,6.56,1.09,0,1.09,0,2.19,0
108-118,0,0,0.77,5.36,0.77,13.02,0,1.53,2.3,3.06,13.79,0,3.06,8.43,0,0,3.06,0.77,0,0.77,32.94,0,0,3.83,0,3.06,4.6,0,2.3,0.77,2.3,0
120,0,0,0,11.76,0,1.96,0,3.92,1.96,0,29.4,0,7.84,7.84,0,1.96,9.8,0,0,0,31.36,0,0,1.96,0,0,7.84,0,1.96,0,1.96,1.96
