stage,endocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0.81,0.81
 48-58,0,1.72,0.57,0.57,0,0.57,0,0.57,0,3.44,0,0.57,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,3.93,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,1.06,1.06,0,1.06,1.06,4.25,0,1.06,3.19,0,0,0
 96-106,0,0,0,0,2.19,0,4.37,0,0,2.19,1.09,0,0
108-118,0,0.77,0,0.77,2.3,0,3.06,0,0.77,2.3,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
