stage,epidermis,eye,fast.muscle,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0.57,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 84-94,1.06,0,0,0,1.06,0,0,0,0,1.06,0,0,1.06,1.06,3.19,0,0,0,1.06
 96-106,1.09,0,0,0,0,0,0,0,0,3.28,1.09,0,1.09,0,3.28,0,1.09,0,0
108-118,3.83,0.77,0,0.77,0,0.77,0,0,0,1.53,0,0,0,0,4.6,0,0,0,0.77
120,5.88,0,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,27.44,1.96,0,1.96,0
