stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,6.45,0,0,0,1.61,0
 48-58,0,0,2.3,0.57,0,0,0,0,0.57,0,9.18,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,9.82,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0
 84-94,0,0,2.12,0,1.06,0,1.06,0,0,0,1.06,0,0,2.12,1.06,0
 96-106,0,0,2.19,0,0,1.09,0,0,0,0,3.28,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0.77,0,0,4.6,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,0,0
