stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,1,1,0,3,25,0,0,0,0
 24-34,0,0,4.93,0,8.21,0,0,6.57,0,0.82,0,19.7,0,0,0,0,0,0,0,0,2.46,0,0,0.82,320.13,0.82,2.46,0.82,0,0,14.78,0.82,0,0,155.14,0,0.82,0,0
 36-46,0,0,2.42,0,3.22,0,0,13.7,0,0,0,69.29,0,0.81,0,0.81,0,0,0.81,0.81,7.25,0,0,2.42,672.73,2.42,4.83,0,0,0,24.98,0,0,0,210.28,0,0,0,0
 48-58,0,0,1.72,0,4.02,0,0,54.51,0,0.57,1.72,243.29,0,0.57,0.57,0,1.15,0,0.57,0,12.05,0,0.57,2.3,867.02,0,2.87,1.15,0,0,16.07,0.57,0,0,254.77,0,0.57,0,1.15
 60-70,0,0,0.98,0,0.98,0,0,106.99,0,0.98,1.96,328.81,0,0,0,0,0,1.96,0,0,32.39,0,0,1.96,1491.91,1.96,0,0,0,0,17.67,0.98,1.96,0,181.58,0,0.98,0.98,0.98
 72-82,0,0,3.93,0,11.78,1.96,0,182.59,0,0,3.93,383.83,0.98,0,0.98,0,0.98,0,0.98,0,40.25,0,0,0.98,1729.69,1.96,4.91,1.96,0,0,3.93,2.94,0,0,109.95,0,1.96,1.96,0.98
 84-94,0,0,7.43,0,4.25,2.12,0,146.56,0,1.06,3.19,213.47,0,1.06,1.06,1.06,1.06,0,0,0,27.61,0,1.06,3.19,788.03,1.06,1.06,2.12,0,0,11.68,6.37,0,0,65.85,0,1.06,1.06,0
 96-106,0,0,5.46,0,9.84,0,0,101.63,0,0,2.19,205.46,0,0,2.19,0,1.09,0,3.28,0,22.95,1.09,0,0,644.78,0,2.19,1.09,0,1.09,9.84,3.28,0,0,32.79,2.19,0,1.09,0
108-118,0,0,6.13,0,5.36,1.53,0,102.64,0,0,3.06,164.68,0,0,0.77,1.53,1.53,0,0,0,16.85,0,0.77,3.06,739.92,0.77,2.3,3.06,0,0,1.53,3.83,0,0,16.85,1.53,3.06,0,0
120,0,0,5.88,0,9.8,1.96,1.96,133.27,3.92,1.96,11.76,288.09,1.96,0,1.96,0,1.96,0,0,0,37.24,0,0,5.88,1460.04,1.96,1.96,3.92,0,3.92,3.92,0,0,0,45.08,0,0,1.96,0
