stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,5,0,0,1,18,1,1,0,1,0,0,1,0,2,4,0,0,0,0
 24-34,0,0.82,0.82,1.64,0,2.46,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,44.33,0.82,0.82,0,0,0.82,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,8.86,0,0.81,1.61,0,0,0,0,0,0.81,3.22,0,0,0.81,82.98,0,0.81,0,0,0.81,0,0,0.81,0,16.92,0,0.81,0,0
 48-58,0,0,0,1.15,0,10.9,0.57,0,4.02,0,0,0,0,0.57,0,6.89,0,0,0.57,48.77,0,0,0,0,1.72,0,0,0,0,12.62,0,0.57,0,0
 60-70,0,0,0,0,0,6.87,0,0,1.96,0,0.98,0.98,0,0,0,4.91,0,0,0,34.35,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0,15.71,0,0,6.87,0,0.98,0.98,0,0,0,11.78,0,0,0.98,52.03,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0.98
 84-94,0,2.12,0,3.19,0,21.24,0,0,6.37,1.06,1.06,1.06,0,0,1.06,12.74,2.12,0,1.06,29.74,1.06,1.06,0,0,4.25,0,0,0,0,5.31,0,1.06,1.06,0
 96-106,0,1.09,0,2.19,0,14.21,1.09,0,4.37,0,0,1.09,0,0,0,5.46,0,0,1.09,36.06,0,2.19,2.19,0,4.37,0,0,0,0,4.37,1.09,1.09,0,1.09
108-118,0,0.77,0,1.53,0,22.98,0.77,1.53,4.6,0,0.77,0,1.53,1.53,0.77,8.43,0,0,0,35.23,0,1.53,1.53,0,0.77,0,0,0,0,0.77,0,1.53,0,0.77
120,0,0,0,1.96,0,27.44,1.96,0,5.88,1.96,0,0,0,1.96,0,9.8,0,1.96,0,33.32,3.92,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0
