stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,immune,lateral.line,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,540.3,8407.52,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0
  5-6,202.28,2464.11,0,0,0,0,6.13,0,0,0,0,61.3,0,24.52,30.65,0,0,0
  7-9,0,0,5.26,0,0,5.26,5.26,0,0,0,0,68.35,0,36.8,0,44.69,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,25.18,0,9.44,0,22.03,3.15,0
 14-21,0,0,1,0,0,1,0,0,0,11,0,1,0,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,2.46,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,2.42,1.61,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,2.3,1.72,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,0,0,2.12,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,3.28,1.09,0,2.19,0,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0,2.3,0,0.77,0,0,0,0,0,1.53,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0
