stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,2556.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,18.4,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,3.15,0,3.15,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,13,2,0,1,1,0,1,0,3,0,4,8,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0.82,0,0.82,0,1.64,0,0.82,4.93,0,0,0,0,0,4.93,0.82,0,3.28,6.57,0.82,2.46,0,0,0,2.46,0,0.82,0.82,4.1,4.93,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,3.22,0.81,0,0.81,1.61,0,0,3.22,0,0,0,0,0,4.83,0,0,2.42,5.64,0,2.42,0.81,0,0,5.64,0,0,0.81,0,1.61,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0.57,0,1.15,0,0,0,0.57,0,0.57,9.18,0,0,0,0,0,9.75,0,0,0.57,4.59,0,3.44,0,0,0,16.64,0,0,0,0,0.57,0,0,2.3,0,1.15
 60-70,0,0,0,0,2.94,0.98,0,4.91,0.98,0.98,0,7.85,0,0,5.89,0.98,0,0,0.98,0,13.74,0,0.98,0,3.93,0,1.96,0,0,0,33.37,0,0,0,0,0.98,0,0.98,3.93,0,0
 72-82,0,0,0,0,1.96,1.96,0,4.91,0,0,1.96,5.89,2.94,0.98,16.69,1.96,0,0.98,0,0.98,19.63,0,0,3.93,8.83,0.98,7.85,1.96,0,0.98,51.05,0.98,0,0.98,0,1.96,2.94,1.96,2.94,1.96,4.91
 84-94,0,0,0,0,16.99,3.19,0,2.12,0,4.25,0,6.37,5.31,2.12,30.8,3.19,1.06,3.19,1.06,0,13.81,0,1.06,3.19,6.37,0,6.37,0,0,0,194.35,0,0,2.12,0,0,2.12,0,11.68,2.12,3.19
 96-106,0,0,0,0,26.23,7.65,0,9.84,0,4.37,1.09,12.02,4.37,2.19,30.6,4.37,2.19,3.28,2.19,0,29.51,1.09,2.19,2.19,16.39,0,15.3,0,0,1.09,143.16,2.19,0,0,0,4.37,2.19,3.28,7.65,3.28,4.37
108-118,0,0,0.77,0,33.7,3.06,0.77,4.6,0,9.96,1.53,10.72,5.36,1.53,32.94,10.72,2.3,1.53,0.77,0.77,28.34,1.53,3.06,1.53,9.19,0,6.89,1.53,0,0,118.72,0,0,1.53,0,1.53,1.53,0.77,14.55,2.3,6.89
120,0,0,0,0,37.24,7.84,0,7.84,0,9.8,0,1.96,11.76,0,37.24,13.72,1.96,0,5.88,0,13.72,3.92,5.88,0,11.76,1.96,3.92,1.96,0,0,150.9,0,0,0,0,1.96,3.92,0,3.92,1.96,1.96
