stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,2.63,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,149.84,10.51,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,6.29,22.03,0,3.15,12.59,0,0,0,6.29,0,0,0,0,0,0,0,251.76,15.73,0,0,44.06,6.29,6.29,0,0,6.29,0,0
 14-21,0,0,4,11,3,6,0,2,2,0,0,0,0,7,0,0,4,81,14,0,1,2,3,0,14,3,10,31,0
 24-34,0,0,0,0.82,0.82,3.28,0,2.46,0,0,0,0,0,11.49,0.82,0,4.1,62.39,0.82,0,0.82,0,3.28,0,0.82,0,2.46,18.88,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0,0,3.22,12.89,0,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0.57,0,2.87,0,0.57,0,0,0,0,0.57,3.44,0,0,0.57,13.2,0,0,0,0,0.57,0,0,0,0,2.3,0
 60-70,0,0,0,0,0.98,4.91,0,0,0,0,0,0,0,2.94,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,2.94,0,0,0,0,0,8.83,0,0.98,0,10.8,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,7.43,1.06,0,0,0,0,0,0,3.19,0,0,0,8.5,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,6.56,0,0,1.09,0,1.09,1.09,0,2.19,0,0,0,9.84,0,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,0,2.3,0,0,0,0,0.77,3.83,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0.77,1.53
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,1.96,0
